feature,frequency,percentage
PLSCR1,100,100.0
TOB1,100,100.0
USP17L7,100,100.0
MAP1LC3B,100,100.0
HTATIP2,100,100.0
TAGLN2,100,100.0
CAPZA3,100,100.0
LINC01565,100,100.0
ABCA7,100,100.0
FN3KRP,100,100.0
FAM210A,100,100.0
PCCA,100,100.0
ALDH2,100,100.0
TMEM210,100,100.0
SLC17A4,100,100.0
RTN3,100,100.0
TMBIM1,100,100.0
PLXNA4,100,100.0
LRP2,100,100.0
RIOK3,100,100.0
HIBADH,100,100.0
ARG2,100,100.0
RETREG1,100,100.0
CLDN24,100,100.0
RMND5A,100,100.0
MACIR,100,100.0
LIMK2,100,100.0
DBR1,100,100.0
MCM4,100,100.0
MOCOS,100,100.0
LAPTM4B,100,100.0
HSPB8,100,100.0
NPAS3,100,100.0
GABARAPL1,100,100.0
ZNF165,100,100.0
EIF1,100,100.0
SDCBP2,100,100.0
DUSP1,100,100.0
NUP43,100,100.0
RNU4-49P,100,100.0
TTC39C,100,100.0
CHP1,100,100.0
JPT1,100,100.0
SCCPDH,100,100.0
LINC02104,100,100.0
MAOA,100,100.0
WLS,100,100.0
SERPINB1,100,100.0
CD55,100,100.0
SNRNP25,100,100.0
HROB,100,100.0
ARL6IP1,100,100.0
RAB33B,100,100.0
ZNF284,100,100.0
ARRDC3,100,100.0
CAMK2D,100,100.0
CTNNA1,100,100.0
NPHP4,100,100.0
LRRC52,100,100.0
ATF3,100,100.0
ADSS2,100,100.0
LINC01358,100,100.0
H3C11,100,100.0
LINC02340,100,100.0
ATL3,100,100.0
PLS3,95,95.0
EPHA2,95,95.0
NCCRP1,95,95.0
MCM5,95,95.0
RNU6-1209P,95,95.0
STK19,95,95.0
TC2N,95,95.0
RAP1GDS1,95,95.0
FLOT2,95,95.0
RPL23AP86,95,95.0
ID3,95,95.0
MIR5195,95,95.0
KMO,95,95.0
CTH,95,95.0
CAPZA1,95,95.0
DHCR24,95,95.0
RPL21P88,95,95.0
LINC02888,95,95.0
LGALS3,95,95.0
OSER1,95,95.0
RAB11A,95,95.0
C6orf62,95,95.0
SORBS2-AS1,95,95.0
ANXA1,95,95.0
VWA5A,95,95.0
CREM,95,95.0
HCRTR2,95,95.0
SDCBP,95,95.0
PPP1CB,95,95.0
ARL3,95,95.0
NAMPT,95,95.0
SLC2A9,95,95.0
TPGS1,95,95.0
DEFB1,95,95.0
HENMT1,95,95.0
TGIF1,95,95.0
STX8,95,95.0
MGST1,95,95.0
GPRC5A,95,95.0
GIMAP3P,95,95.0
TMEM237,95,95.0
TMEM140,95,95.0
C12orf76,95,95.0
JAKMIP1,95,95.0
MORF4L1,95,95.0
LETM2,95,95.0
MFSD6L,95,95.0
LGALS7B,95,95.0
BCDIN3D,95,95.0
MAT2B,95,95.0
SEPTIN10,95,95.0
TLCD5,95,95.0
SPICE1,95,95.0
DEGS1,95,95.0
CDKN1A,90,90.0
LINC00304,90,90.0
SLC41A2,90,90.0
ZNF691-DT,90,90.0
MCU,90,90.0
LITAF,90,90.0
PHAF1,90,90.0
DUSP2,90,90.0
PERP,90,90.0
ECHDC1,90,90.0
LDHA,90,90.0
DSC2,90,90.0
SERINC5,90,90.0
SPRING1,90,90.0
RPL22P23,90,90.0
RDH13,90,90.0
HNRNPA1P27,90,90.0
CHMP5,90,90.0
STXBP3,90,90.0
USP1,90,90.0
WWC1,90,90.0
EIF2S3,90,90.0
ARPC1B,90,90.0
SOD2,90,90.0
SMPDL3A,90,90.0
HPSE,90,90.0
PHYH,90,90.0
LINC01511,90,90.0
CCNB2P1,90,90.0
CTTN,90,90.0
GLMP,90,90.0
FOS,90,90.0
P4HA1,90,90.0
ADAMTS18,90,90.0
FRMD4A,90,90.0
ANXA4,90,90.0
VPS41,90,90.0
PSEN1,90,90.0
PHYHIPL,90,90.0
LINC02289,90,90.0
CD47,90,90.0
ZNF418,90,90.0
TUBA1A,90,90.0
SLC39A1,90,90.0
MSRB1,90,90.0
DUSP19,90,90.0
CAPZA2,90,90.0
NCLP1,90,90.0
LSMEM1,90,90.0
PTPRR,90,90.0
NUP37,90,90.0
NDRG1,90,90.0
DBX2,90,90.0
ANXA2,90,90.0
RIN2,90,90.0
DUSP5P1,90,90.0
ARID5B,90,90.0
PLA2G15,90,90.0
KBTBD4,90,90.0
CAMKV,85,85.0
INSR,85,85.0
WWC2-AS2,85,85.0
PPBP,85,85.0
TNFSF12,85,85.0
RN7SL16P,85,85.0
RIMKLB,85,85.0
DYNLRB1,85,85.0
MTND3P6,85,85.0
GALNT11,85,85.0
PTPN11P1,85,85.0
LRRC57,85,85.0
VSTM1,85,85.0
CNIH4,85,85.0
ARHGAP26,85,85.0
CASP4,85,85.0
CXCL14,85,85.0
HSD17B11,85,85.0
GCNT3,85,85.0
NUPR2,85,85.0
ZBTB48,85,85.0
MIR765,85,85.0
RBP4,85,85.0
MTCP1,85,85.0
SMU1P1,85,85.0
HSPE1P8,85,85.0
OR2M3,85,85.0
P2RX4,85,85.0
PRMT2,85,85.0
MFSD4A,85,85.0
RACGAP1,85,85.0
CXCL16,85,85.0
TRIM47,85,85.0
ZNF622,85,85.0
SCAT8,85,85.0
KNSTRN,85,85.0
COX7A2P1,85,85.0
MTND4P16,85,85.0
HOXA7,85,85.0
ZNF670,85,85.0
RPS6KA5,85,85.0
TBL1XR1,85,85.0
WDR1,85,85.0
DDX52,85,85.0
SDC4,85,85.0
CDH1,85,85.0
MAP3K4-AS1,85,85.0
SLC24A5,85,85.0
MRPL45,85,85.0
PPP1R15A,85,85.0
RPSAP56,85,85.0
KCNG1,85,85.0
CCDC28A,85,85.0
ATP6V0E1,85,85.0
ATP6V1A,85,85.0
RNU6-935P,80,80.0
SKIL,80,80.0
RNU6-130P,80,80.0
CYP2C18,80,80.0
THBD,80,80.0
PGM2,80,80.0
GADD45B,80,80.0
CEPT1,80,80.0
PFKP,80,80.0
SET,80,80.0
SPATA20,80,80.0
TMUB2,80,80.0
SPDYE18,80,80.0
YWHAZP10,80,80.0
SMYD2,80,80.0
CADM1,80,80.0
TMCO3,80,80.0
MAFF,80,80.0
NRBF2,80,80.0
CAST,80,80.0
SAP30L-AS1,80,80.0
MBOAT1,80,80.0
EZR,80,80.0
ARNT,80,80.0
BCL2L10,80,80.0
CCN1,80,80.0
ARID5A,80,80.0
ZNF544,80,80.0
NBR2,80,80.0
RAB11FIP1,80,80.0
CYP1A1,80,80.0
KRT7,80,80.0
LRRC31,80,80.0
ADAM22,80,80.0
KCNK13,80,80.0
CSRP3-AS1,80,80.0
ASB16-AS1,80,80.0
RN7SKP4,80,80.0
ZNF549,80,80.0
ERRFI1,80,80.0
GATA2-AS1,80,80.0
RAD51,80,80.0
UBE2B,80,80.0
NMI,80,80.0
LINC00891,80,80.0
GLOD4,80,80.0
SLC7A2,80,80.0
LINC00882,80,80.0
SPECC1L-ADORA2A,80,80.0
MTCO1P35,80,80.0
LINC00581,80,80.0
