feature,frequency,percentage
FRMD4A,100,100.0
CD55,100,100.0
GABARAPL1,100,100.0
MARCHF3,100,100.0
CBLL2,100,100.0
MOCOS,100,100.0
TGIF1,100,100.0
LGALS7B,100,100.0
RNU4ATAC18P,100,100.0
DCTPP1,100,100.0
ARG2,100,100.0
SEMA6A-AS1,100,100.0
RTN3,100,100.0
JPT1,100,100.0
LINC00882,100,100.0
TBC1D28,100,100.0
SND1-DT,100,100.0
HPSE,100,100.0
SDCBP2,100,100.0
HROB,100,100.0
LINC01565,100,100.0
RIOK3,100,100.0
PLP2,100,100.0
LINC01358,100,100.0
KMO,100,100.0
SCAT8,100,100.0
MCM4,100,100.0
PLXNA4,100,100.0
RPS20P10,100,100.0
ENOX1-AS1,100,100.0
PWWP2AP1,100,100.0
HTATIP2,100,100.0
ADAM7,100,100.0
ALDH2,100,100.0
LINC00261,100,100.0
LRRC52,100,100.0
TAGLN2,100,100.0
MGST3,100,100.0
ADAM22,100,100.0
RETREG1,100,100.0
LINC02340,100,100.0
TRAPPC14,100,100.0
TMEM140,100,100.0
RBFOX3,100,100.0
PKDCC,100,100.0
SNRNP25,100,100.0
PFKP,100,100.0
TOB1,100,100.0
HSPB8,100,100.0
CCDC54-AS1,95,95.0
ADAMTS18,95,95.0
KLF6,95,95.0
SMU1P1,95,95.0
MED12L,95,95.0
ADSS2,95,95.0
LINC02289,95,95.0
ASB16-AS1,95,95.0
ZNF859P,95,95.0
RNU6-411P,95,95.0
TRGJP2,95,95.0
DUSP1,95,95.0
DEFB1,95,95.0
ATP6V0E1,95,95.0
KCNK13,95,95.0
SNRPEP10,95,95.0
RBMX2P5,95,95.0
LINC02522,95,95.0
YTHDF3P1,95,95.0
LGALS3,95,95.0
SULT4A1,95,95.0
GALE,95,95.0
EPHA2,95,95.0
ACSM5P1,95,95.0
SETP16,95,95.0
HPYR1,95,95.0
RPL23AP86,95,95.0
DEPP1,95,95.0
RNFT1P3,95,95.0
PSTK,95,95.0
ARHGEF38-IT1,95,95.0
RNU4-49P,95,95.0
TMEM210,95,95.0
RAD51,95,95.0
SEPTIN10,95,95.0
ANXA2,90,90.0
MTCO1P35,90,90.0
EIF1,90,90.0
NAV2,90,90.0
CAMKV,90,90.0
GPR87,90,90.0
TTC9B,90,90.0
USP17L7,90,90.0
SDCBP,90,90.0
RIMKLB,90,90.0
RNU6-935P,90,90.0
NOSTRIN,90,90.0
PCARE,90,90.0
MFSD6L,90,90.0
KRT8P30,90,90.0
NUPR2,90,90.0
RAPSN,90,90.0
ZNF418,90,90.0
NPAS3,90,90.0
ATF3,90,90.0
SCCPDH,90,90.0
COMETT,90,90.0
EDDM3B,90,90.0
PRRG4,90,90.0
LDHA,90,90.0
RNU6-1164P,90,90.0
CXCL14,90,90.0
HSD17B11,90,90.0
LINC00304,90,90.0
CCNB2P1,90,90.0
PLA2G15,90,90.0
LINC02669,90,90.0
SYT2,90,90.0
LINC03028,90,90.0
RPS6KA2,90,90.0
OFD1,90,90.0
