iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,k_neighbors,distance_metric,prediction_confidence
0,KNN_k5_euclidean,0.631578947368421,0.6154605263157895,0.631578947368421,0.5998445662967921,0.5992753623188406,5,euclidean,0.7763157894736841
0,KNN_k5_manhattan,0.5789473684210527,0.5605174552542974,0.5789473684210527,0.5634008097165992,0.5905797101449275,5,manhattan,0.7315789473684211
0,KNN_k5_weighted,0.631578947368421,0.6154605263157895,0.631578947368421,0.5998445662967921,0.566304347826087,5,euclidean,0.7766306456966079
0,KNN_adaptive,0.631578947368421,0.6154605263157895,0.631578947368421,0.5998445662967921,0.6043478260869565,11,euclidean,0.7064675521817534
0,KNN_cosine,0.5394736842105263,0.5064635272391506,0.5394736842105263,0.5123731659245201,0.5293478260869565,5,cosine,0.7604649457501157
1,KNN_k5_euclidean,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5550724637681159,5,euclidean,0.7052631578947368
1,KNN_k5_manhattan,0.5131578947368421,0.5103100745260069,0.5131578947368421,0.5116495448572224,0.5231884057971015,5,manhattan,0.7052631578947368
1,KNN_k5_weighted,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5449275362318841,5,euclidean,0.7046534113784667
1,KNN_adaptive,0.4605263157894737,0.4573309649766382,0.4605263157894737,0.45885490105800314,0.4985507246376812,11,euclidean,0.6358549102824193
1,KNN_cosine,0.6052631578947368,0.5834845735027224,0.6052631578947368,0.5786943319838057,0.5891304347826087,5,cosine,0.7778392024684833
2,KNN_k5_euclidean,0.5921052631578947,0.5612597066436584,0.5921052631578947,0.5527135595999344,0.5822463768115942,5,euclidean,0.7368421052631577
2,KNN_k5_manhattan,0.5394736842105263,0.519904149216355,0.5394736842105263,0.5253428024033784,0.43260869565217386,5,manhattan,0.7052631578947368
2,KNN_k5_weighted,0.5921052631578947,0.5612597066436584,0.5921052631578947,0.5527135595999344,0.5340579710144927,5,euclidean,0.7379133549208965
2,KNN_adaptive,0.6447368421052632,0.6679197994987468,0.6447368421052632,0.5698435277382646,0.5202898550724637,11,euclidean,0.6730347528620597
2,KNN_cosine,0.5526315789473685,0.5313662945241893,0.5526315789473685,0.5361133603238867,0.5318840579710145,5,cosine,0.7612875203828274
3,KNN_k5_euclidean,0.5789473684210527,0.5695546558704454,0.5789473684210527,0.5726817042606516,0.5902173913043478,5,euclidean,0.7026315789473683
3,KNN_k5_manhattan,0.5921052631578947,0.6050797726022373,0.5921052631578947,0.5960724091395598,0.6094202898550725,5,manhattan,0.6868421052631578
