feature,frequency,percentage
PLSCR1,80,100.0
TOB1,80,100.0
USP17L7,80,100.0
MAP1LC3B,80,100.0
HTATIP2,80,100.0
TAGLN2,80,100.0
CAPZA3,80,100.0
LINC01565,80,100.0
ABCA7,80,100.0
FN3KRP,80,100.0
FAM210A,80,100.0
PCCA,80,100.0
ALDH2,80,100.0
TMEM210,80,100.0
SLC17A4,80,100.0
RTN3,80,100.0
TMBIM1,80,100.0
PLXNA4,80,100.0
LRP2,80,100.0
RIOK3,80,100.0
HIBADH,80,100.0
ARG2,80,100.0
RETREG1,80,100.0
CLDN24,80,100.0
RMND5A,80,100.0
MACIR,80,100.0
LIMK2,80,100.0
DBR1,80,100.0
MCM4,80,100.0
MOCOS,80,100.0
LAPTM4B,80,100.0
HSPB8,80,100.0
NPAS3,80,100.0
GABARAPL1,80,100.0
ZNF165,80,100.0
EIF1,80,100.0
SDCBP2,80,100.0
DUSP1,80,100.0
NUP43,80,100.0
RNU4-49P,80,100.0
TTC39C,80,100.0
CHP1,80,100.0
JPT1,80,100.0
SCCPDH,80,100.0
LINC02104,80,100.0
MAOA,80,100.0
WLS,80,100.0
SERPINB1,80,100.0
CD55,80,100.0
SNRNP25,80,100.0
HROB,80,100.0
ARL6IP1,80,100.0
RAB33B,80,100.0
ZNF284,80,100.0
ARRDC3,80,100.0
CAMK2D,80,100.0
CTNNA1,80,100.0
NPHP4,80,100.0
LRRC52,80,100.0
ATF3,80,100.0
ADSS2,80,100.0
LINC01358,80,100.0
H3C11,80,100.0
LINC02340,80,100.0
ATL3,80,100.0
PLS3,76,95.0
EPHA2,76,95.0
NCCRP1,76,95.0
MCM5,76,95.0
RNU6-1209P,76,95.0
STK19,76,95.0
TC2N,76,95.0
RAP1GDS1,76,95.0
FLOT2,76,95.0
RPL23AP86,76,95.0
ID3,76,95.0
MIR5195,76,95.0
KMO,76,95.0
CTH,76,95.0
CAPZA1,76,95.0
DHCR24,76,95.0
RPL21P88,76,95.0
LINC02888,76,95.0
LGALS3,76,95.0
OSER1,76,95.0
RAB11A,76,95.0
C6orf62,76,95.0
SORBS2-AS1,76,95.0
ANXA1,76,95.0
VWA5A,76,95.0
CREM,76,95.0
HCRTR2,76,95.0
SDCBP,76,95.0
PPP1CB,76,95.0
ARL3,76,95.0
NAMPT,76,95.0
SLC2A9,76,95.0
TPGS1,76,95.0
DEFB1,76,95.0
HENMT1,76,95.0
TGIF1,76,95.0
STX8,76,95.0
MGST1,76,95.0
GPRC5A,76,95.0
GIMAP3P,76,95.0
TMEM237,76,95.0
TMEM140,76,95.0
C12orf76,76,95.0
JAKMIP1,76,95.0
MORF4L1,76,95.0
LETM2,76,95.0
MFSD6L,76,95.0
LGALS7B,76,95.0
BCDIN3D,76,95.0
MAT2B,76,95.0
SEPTIN10,76,95.0
TLCD5,76,95.0
SPICE1,76,95.0
DEGS1,76,95.0
CDKN1A,72,90.0
LINC00304,72,90.0
SLC41A2,72,90.0
ZNF691-DT,72,90.0
MCU,72,90.0
LITAF,72,90.0
PHAF1,72,90.0
DUSP2,72,90.0
PERP,72,90.0
ECHDC1,72,90.0
LDHA,72,90.0
DSC2,72,90.0
SERINC5,72,90.0
SPRING1,72,90.0
RPL22P23,72,90.0
RDH13,72,90.0
HNRNPA1P27,72,90.0
CHMP5,72,90.0
STXBP3,72,90.0
USP1,72,90.0
WWC1,72,90.0
EIF2S3,72,90.0
ARPC1B,72,90.0
SOD2,72,90.0
SMPDL3A,72,90.0
HPSE,72,90.0
PHYH,72,90.0
LINC01511,72,90.0
CCNB2P1,72,90.0
CTTN,72,90.0
GLMP,72,90.0
FOS,72,90.0
P4HA1,72,90.0
ADAMTS18,72,90.0
FRMD4A,72,90.0
ANXA4,72,90.0
VPS41,72,90.0
PSEN1,72,90.0
PHYHIPL,72,90.0
LINC02289,72,90.0
CD47,72,90.0
ZNF418,72,90.0
TUBA1A,72,90.0
SLC39A1,72,90.0
MSRB1,72,90.0
DUSP19,72,90.0
CAPZA2,72,90.0
NCLP1,72,90.0
LSMEM1,72,90.0
PTPRR,72,90.0
NUP37,72,90.0
NDRG1,72,90.0
DBX2,72,90.0
ANXA2,72,90.0
RIN2,72,90.0
DUSP5P1,72,90.0
ARID5B,72,90.0
PLA2G15,72,90.0
KBTBD4,72,90.0
CAMKV,68,85.0
INSR,68,85.0
WWC2-AS2,68,85.0
PPBP,68,85.0
TNFSF12,68,85.0
RN7SL16P,68,85.0
RIMKLB,68,85.0
DYNLRB1,68,85.0
MTND3P6,68,85.0
GALNT11,68,85.0
PTPN11P1,68,85.0
LRRC57,68,85.0
VSTM1,68,85.0
CNIH4,68,85.0
ARHGAP26,68,85.0
CASP4,68,85.0
CXCL14,68,85.0
HSD17B11,68,85.0
GCNT3,68,85.0
NUPR2,68,85.0
ZBTB48,68,85.0
MIR765,68,85.0
RBP4,68,85.0
MTCP1,68,85.0
SMU1P1,68,85.0
HSPE1P8,68,85.0
OR2M3,68,85.0
P2RX4,68,85.0
PRMT2,68,85.0
MFSD4A,68,85.0
RACGAP1,68,85.0
CXCL16,68,85.0
TRIM47,68,85.0
ZNF622,68,85.0
SCAT8,68,85.0
KNSTRN,68,85.0
COX7A2P1,68,85.0
MTND4P16,68,85.0
HOXA7,68,85.0
ZNF670,68,85.0
RPS6KA5,68,85.0
TBL1XR1,68,85.0
WDR1,68,85.0
DDX52,68,85.0
SDC4,68,85.0
CDH1,68,85.0
MAP3K4-AS1,68,85.0
SLC24A5,68,85.0
MRPL45,68,85.0
PPP1R15A,68,85.0
RPSAP56,68,85.0
KCNG1,68,85.0
CCDC28A,68,85.0
ATP6V0E1,68,85.0
ATP6V1A,68,85.0
RNU6-935P,64,80.0
SKIL,64,80.0
RNU6-130P,64,80.0
CYP2C18,64,80.0
THBD,64,80.0
PGM2,64,80.0
GADD45B,64,80.0
CEPT1,64,80.0
PFKP,64,80.0
SET,64,80.0
SPATA20,64,80.0
TMUB2,64,80.0
SPDYE18,64,80.0
YWHAZP10,64,80.0
SMYD2,64,80.0
CADM1,64,80.0
TMCO3,64,80.0
MAFF,64,80.0
NRBF2,64,80.0
CAST,64,80.0
SAP30L-AS1,64,80.0
MBOAT1,64,80.0
EZR,64,80.0
ARNT,64,80.0
BCL2L10,64,80.0
CCN1,64,80.0
ARID5A,64,80.0
ZNF544,64,80.0
NBR2,64,80.0
RAB11FIP1,64,80.0
CYP1A1,64,80.0
KRT7,64,80.0
LRRC31,64,80.0
ADAM22,64,80.0
KCNK13,64,80.0
CSRP3-AS1,64,80.0
ASB16-AS1,64,80.0
RN7SKP4,64,80.0
ZNF549,64,80.0
ERRFI1,64,80.0
GATA2-AS1,64,80.0
RAD51,64,80.0
UBE2B,64,80.0
NMI,64,80.0
LINC00891,64,80.0
GLOD4,64,80.0
SLC7A2,64,80.0
LINC00882,64,80.0
SPECC1L-ADORA2A,64,80.0
MTCO1P35,64,80.0
LINC00581,64,80.0
