iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,n_components_used
0,LDA,0.5789473684210527,0.5477918935269207,0.5789473684210527,0.5603554340396446,0.4719551282051282,
0,LDA_No_Shrinkage,0.5,0.5304347826086956,0.5,0.5124716553287981,0.45512820512820507,
0,QDA,0.4342105263157895,0.6560828300258844,0.4342105263157895,0.4011274894875468,0.6013621794871795,1.0
0,QDA_Regularized,0.34210526315789475,0.786628733997155,0.34210526315789475,0.205354656482476,0.500801282051282,1.0
1,LDA,0.6052631578947368,0.5386513157894737,0.6052631578947368,0.55989110707804,0.4575320512820513,
1,LDA_No_Shrinkage,0.5394736842105263,0.5826193390452876,0.5394736842105263,0.5540166204986149,0.5176282051282051,
1,QDA,0.4868421052631579,0.602965594470402,0.4868421052631579,0.49710347857123244,0.5536858974358975,1.0
1,QDA_Regularized,0.32894736842105265,0.48708728342595614,0.32894736842105265,0.23538890967166412,0.532051282051282,1.0
2,LDA,0.631578947368421,0.561244019138756,0.631578947368421,0.5775830403526263,0.4142628205128205,
2,LDA_No_Shrinkage,0.5,0.5397727272727273,0.5,0.5148809523809523,0.46634615384615385,
2,QDA,0.40789473684210525,0.5846670514771476,0.40789473684210525,0.3825645832758953,0.5713141025641025,1.0
2,QDA_Regularized,0.32894736842105265,0.555635664503725,0.32894736842105265,0.1995165984314112,0.5689102564102564,1.0
3,LDA,0.6710526315789473,0.6203194553548049,0.6710526315789473,0.617023843030035,0.5528846153846154,
3,LDA_No_Shrinkage,0.5394736842105263,0.6126490863332968,0.5394736842105263,0.5554898482160457,0.5512820512820513,
3,QDA,0.47368421052631576,0.6073684210526316,0.47368421052631576,0.4784257942152679,0.5909455128205128,1.0
3,QDA_Regularized,0.3157894736842105,0.09972299168975068,0.3157894736842105,0.15157894736842104,0.5176282051282052,1.0
4,LDA,0.631578947368421,0.5973684210526315,0.631578947368421,0.6078947368421053,0.6314102564102565,
4,LDA_No_Shrinkage,0.5394736842105263,0.6021811284969181,0.5394736842105263,0.5556514236410699,0.5400641025641024,
4,QDA,0.40789473684210525,0.5678670360110804,0.40789473684210525,0.39090684457622926,0.4751602564102564,1.0
4,QDA_Regularized,0.3157894736842105,0.09972299168975068,0.3157894736842105,0.15157894736842104,0.4258814102564103,1.0
5,LDA,0.5394736842105263,0.47955133735979305,0.5394736842105263,0.5046755759378022,0.43028846153846156,
5,LDA_No_Shrinkage,0.5789473684210527,0.6160287081339714,0.5789473684210527,0.5914786967418546,0.5576923076923077,
5,QDA,0.3684210526315789,0.5223684210526316,0.3684210526315789,0.33657673595754095,0.4375,1.0
5,QDA_Regularized,0.3157894736842105,0.09972299168975068,0.3157894736842105,0.15157894736842104,0.4511217948717949,1.0
6,LDA,0.618421052631579,0.5641668273247221,0.618421052631579,0.5799492856701094,0.49118589743589747,
6,LDA_No_Shrinkage,0.5263157894736842,0.5463659147869674,0.5263157894736842,0.5350607287449393,0.47435897435897434,
6,QDA,0.40789473684210525,0.5120284202803413,0.40789473684210525,0.41973478296680666,0.375400641025641,1.0
6,QDA_Regularized,0.3684210526315789,0.6739348370927318,0.3684210526315789,0.272502606479515,0.3942307692307693,1.0
7,LDA,0.6842105263157895,0.6451355661881978,0.6842105263157895,0.6379283203022512,0.5889423076923077,
7,LDA_No_Shrinkage,0.4868421052631579,0.5594704015756647,0.4868421052631579,0.5046886880121653,0.4903846153846153,
7,QDA,0.4473684210526316,0.5747368421052631,0.4473684210526316,0.4523470839260313,0.5032051282051282,1.0
7,QDA_Regularized,0.32894736842105265,0.555635664503725,0.32894736842105265,0.1995165984314112,0.5224358974358974,1.0
8,LDA,0.631578947368421,0.5756578947368421,0.631578947368421,0.5892316999395039,0.4254807692307692,
8,LDA_No_Shrinkage,0.5526315789473685,0.6709382151029748,0.5526315789473685,0.5629194938565927,0.6057692307692308,
8,QDA,0.3815789473684211,0.5545010066148979,0.3815789473684211,0.3454184187422023,0.40865384615384615,1.0
8,QDA_Regularized,0.3157894736842105,0.09972299168975068,0.3157894736842105,0.15157894736842104,0.4771634615384615,1.0
9,LDA,0.5921052631578947,0.5290148448043185,0.5921052631578947,0.5509802708887378,0.41907051282051283,
9,LDA_No_Shrinkage,0.4342105263157895,0.49786628733997157,0.4342105263157895,0.4540860347590287,0.41826923076923084,
9,QDA,0.39473684210526316,0.5289739500265817,0.39473684210526316,0.3884451252872306,0.4298878205128205,1.0
9,QDA_Regularized,0.32894736842105265,0.7852631578947369,0.32894736842105265,0.178929312990882,0.49559294871794873,1.0
10,LDA,0.6710526315789473,0.6472687201553234,0.6710526315789473,0.6533439729845378,0.5552884615384616,
10,LDA_No_Shrinkage,0.5,0.6115942028985507,0.5,0.5114982578397214,0.5448717948717949,
10,QDA,0.4473684210526316,0.5878879892037787,0.4473684210526316,0.4473684210526316,0.5176282051282052,1.0
10,QDA_Regularized,0.32894736842105265,0.555635664503725,0.32894736842105265,0.1995165984314112,0.5056089743589743,1.0
11,LDA,0.5657894736842105,0.526578160256074,0.5657894736842105,0.5424140443395898,0.5272435897435898,
