feature,stability_percentage,avg_importance,std_importance
LINC00261,95.0,1.263157894736842,1.987030896107757
MARCHF3,90.0,1.1851851851851851,2.687929631974615
TRAPPC14,90.0,1.0740740740740742,3.005253744459377
PLXNA4,90.0,0.6481481481481481,1.5653352191854932
LRRC52,90.0,0.6481481481481481,1.6004328975416644
SND1-DT,95.0,0.543859649122807,1.1708472781377954
JPT1,95.0,0.3157894736842105,1.0786263964168
TOB1,95.0,0.2982456140350877,0.6744695714645995
HROB,100.0,0.2833333333333333,0.6853628398317363
ARG2,95.0,0.2807017543859649,1.1958170658211908
RNU4ATAC18P,90.0,0.25925925925925924,0.6436350813697321
TMEM210,90.0,0.18518518518518517,0.5118620355957502
PLP2,85.0,0.17647058823529413,0.6479494761513062
ADAM22,95.0,0.17543859649122806,0.5959750088232643
SNRNP25,95.0,0.14035087719298245,0.3473506995302339
LINC01358,85.0,0.11764705882352941,0.3781823827840375
LGALS7B,90.0,0.1111111111111111,0.49690399499995325
ADAMTS18,85.0,0.0784313725490196,0.2688492000157272
HSPB8,90.0,0.07407407407407407,0.324998681014523
RIOK3,90.0,0.07407407407407407,0.261891400439462
GABARAPL1,100.0,0.05,0.21794494717703364
LINC01565,100.0,0.03333333333333333,0.17950549357115012
TAGLN2,85.0,0.0196078431372549,0.1386483884679505
DUSP1,95.0,0.017543859649122806,0.13128622409733126
TRGJP2,95.0,0.0,0.0
ADAM7,90.0,0.0,0.0
CBLL2,90.0,0.0,0.0
SMU1P1,90.0,0.0,0.0
RPS20P10,90.0,0.0,0.0
SNRPEP10,85.0,0.0,0.0
