iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,best_iteration,training_time,prediction_time
0,LightGBM_Default,0.6447368421052632,0.6364293085655316,0.6447368421052632,0.6377447837024615,0.5721014492753623,1,0.0856320858001709,0.0021409988403320312
0,LightGBM_Fast,0.6052631578947368,0.6152882205513784,0.6052631578947368,0.6086273923444976,0.5532608695652175,1,0.03718209266662598,0.0015490055084228516
0,LightGBM_Accurate,0.7894736842105263,0.7878542510121458,0.7894736842105263,0.7863408521303259,0.7478260869565219,1,0.07159304618835449,0.0018661022186279297
1,LightGBM_Default,0.5921052631578947,0.5945104697226938,0.5921052631578947,0.5932074827674483,0.5384057971014493,9,0.08761215209960938,0.001689910888671875
1,LightGBM_Fast,0.5789473684210527,0.5892672858617131,0.5789473684210527,0.5825358851674641,0.5862318840579711,3,0.050695180892944336,0.001409769058227539
1,LightGBM_Accurate,0.5526315789473685,0.5369433198380567,0.5526315789473685,0.5414727294426541,0.4927536231884058,5,0.0916290283203125,0.0015249252319335938
2,LightGBM_Default,0.5,0.5277777777777778,0.5,0.5052264808362369,0.49130434782608695,2,0.06600332260131836,0.0015187263488769531
2,LightGBM_Fast,0.4868421052631579,0.5172015404364569,0.4868421052631579,0.4917497185844109,0.5007246376811594,2,0.04582023620605469,0.001611948013305664
2,LightGBM_Accurate,0.5789473684210527,0.5839563397129186,0.5789473684210527,0.581060177325033,0.5054347826086956,1,0.07845878601074219,0.0015690326690673828
3,LightGBM_Default,0.5394736842105263,0.5586862165809535,0.5394736842105263,0.5445681807679867,0.518840579710145,25,0.12690997123718262,0.0014638900756835938
3,LightGBM_Fast,0.5526315789473685,0.574792243767313,0.5526315789473685,0.5576441102756892,0.5717391304347826,3,0.04621100425720215,0.0016222000122070312
3,LightGBM_Accurate,0.4605263157894737,0.4801218222270854,0.4605263157894737,0.4664941546139273,0.46739130434782605,10,0.10414695739746094,0.0016949176788330078
4,LightGBM_Default,0.5657894736842105,0.5979644232532552,0.5657894736842105,0.5699420695714247,0.5605072463768116,1,0.06378698348999023,0.0016508102416992188
4,LightGBM_Fast,0.5789473684210527,0.5892672858617131,0.5789473684210527,0.5825358851674641,0.566304347826087,1,0.04980587959289551,0.0015232563018798828
4,LightGBM_Accurate,0.5394736842105263,0.5475130744408591,0.5394736842105263,0.5426769170116302,0.527536231884058,18,0.1282501220703125,0.001773834228515625
