feature,stability_percentage,avg_coefficient_magnitude
LGALS7B,100.0,0.011104692185662226
RNU4ATAC18P,100.0,0.010877581291880737
FRMD4A,100.0,0.006729502034576664
HPSE,100.0,0.0053828792435855035
SND1-DT,100.0,0.005340970610285234
SEMA6A-AS1,100.0,0.005127310912683051
SDCBP2,100.0,0.004893630119682635
TBC1D28,100.0,0.004828280145341277
DCTPP1,100.0,0.004364337160596955
HROB,100.0,0.0040124610783298905
LINC00882,100.0,0.003966900835276234
TGIF1,100.0,0.0035196837831762925
MOCOS,100.0,0.003347217718145108
CBLL2,100.0,0.0031383602663405015
MARCHF3,100.0,0.0029907886562352457
CD55,100.0,0.0026764462469488852
GABARAPL1,100.0,0.0021974248628068662
JPT1,100.0,0.002083034565638903
ARG2,100.0,0.001996766034552509
RTN3,100.0,0.0019900139188302325
