feature,stability_percentage,avg_coefficient_magnitude
USP17L7,100.0,0.017933036092775155
TMEM210,100.0,0.017780681728122687
SLC17A4,100.0,0.006708503273010306
CAPZA3,100.0,0.00578542790103497
LINC01565,100.0,0.0047343415291889335
ABCA7,100.0,0.0020569274349927
PLXNA4,100.0,0.0019219894248258048
TOB1,100.0,0.0010636257501473304
FAM210A,100.0,0.0005054792477805212
PLSCR1,100.0,0.0
MAP1LC3B,100.0,0.0
HTATIP2,100.0,0.0
TAGLN2,100.0,0.0
FN3KRP,100.0,0.0
PCCA,100.0,0.0
ALDH2,100.0,0.0
RTN3,100.0,0.0
TMBIM1,100.0,0.0
LRP2,100.0,0.0
RIOK3,100.0,0.0
