feature,stability_percentage,avg_coefficient_magnitude
LGALS7B,100.0,0.0011651349587181677
HROB,100.0,0.0006850996619404299
FRMD4A,100.0,0.0006386340565395784
JPT1,100.0,0.0004909744350326379
SND1-DT,100.0,0.00038688276474202113
RNU4ATAC18P,100.0,0.0003750889503314021
MOCOS,100.0,0.00020988214168566965
CD55,100.0,0.0
GABARAPL1,100.0,0.0
MARCHF3,100.0,0.0
CBLL2,100.0,0.0
TGIF1,100.0,0.0
DCTPP1,100.0,0.0
ARG2,100.0,0.0
SEMA6A-AS1,100.0,0.0
RTN3,100.0,0.0
LINC00882,100.0,0.0
TBC1D28,100.0,0.0
HPSE,100.0,0.0
SDCBP2,100.0,0.0
