feature,stability_percentage,avg_coefficient_magnitude
LGALS7B,100.0,0.011079626427971022
RNU4ATAC18P,100.0,0.01085825976618748
FRMD4A,100.0,0.006701171229609811
HPSE,100.0,0.005358645651425834
SND1-DT,100.0,0.0053419348594132155
SEMA6A-AS1,100.0,0.005112562323088193
SDCBP2,100.0,0.004878968724479001
TBC1D28,100.0,0.00480785228589811
DCTPP1,100.0,0.004344451019721628
HROB,100.0,0.003991735330866409
LINC00882,100.0,0.003949026206968921
TGIF1,100.0,0.0034972816036696252
MOCOS,100.0,0.0033223172394296688
CBLL2,100.0,0.003129248510009161
MARCHF3,100.0,0.0029798422948088123
CD55,100.0,0.0026569935189946206
GABARAPL1,100.0,0.002183586849139149
JPT1,100.0,0.0020739270515659223
ARG2,100.0,0.001984668185487192
RTN3,100.0,0.001982265951539542
