feature,stability_percentage,avg_coefficient_magnitude
RNU4ATAC18P,100.0,0.12750769258038255
LGALS7B,100.0,0.12309884004607144
SND1-DT,100.0,0.08724033401160344
SEMA6A-AS1,100.0,0.06186118793183274
TBC1D28,100.0,0.05465740093057035
CBLL2,100.0,0.05236569291506388
FRMD4A,100.0,0.04980624227667588
MARCHF3,100.0,0.048499894500632815
HROB,100.0,0.034808547727614686
HPSE,100.0,0.03184069399406049
SDCBP2,100.0,0.030537153333005718
DCTPP1,100.0,0.02315479011403254
CD55,100.0,0.01678164802186887
TGIF1,100.0,0.01588576959893685
ARG2,100.0,0.015501061246312384
LINC00882,100.0,0.014483882443273305
MOCOS,100.0,0.01342286073156818
JPT1,100.0,0.012169023637054821
RTN3,100.0,0.01158503940110579
GABARAPL1,100.0,0.01137424564885697
