feature,frequency,percentage
FRMD4A,60,100.0
CD55,60,100.0
GABARAPL1,60,100.0
MARCHF3,60,100.0
CBLL2,60,100.0
MOCOS,60,100.0
TGIF1,60,100.0
LGALS7B,60,100.0
RNU4ATAC18P,60,100.0
DCTPP1,60,100.0
ARG2,60,100.0
SEMA6A-AS1,60,100.0
RTN3,60,100.0
JPT1,60,100.0
LINC00882,60,100.0
TBC1D28,60,100.0
SND1-DT,60,100.0
HPSE,60,100.0
SDCBP2,60,100.0
HROB,60,100.0
LINC01565,60,100.0
RIOK3,60,100.0
PLP2,60,100.0
LINC01358,60,100.0
KMO,60,100.0
SCAT8,60,100.0
MCM4,60,100.0
PLXNA4,60,100.0
RPS20P10,60,100.0
ENOX1-AS1,60,100.0
PWWP2AP1,60,100.0
HTATIP2,60,100.0
ADAM7,60,100.0
ALDH2,60,100.0
LINC00261,60,100.0
LRRC52,60,100.0
TAGLN2,60,100.0
MGST3,60,100.0
ADAM22,60,100.0
RETREG1,60,100.0
LINC02340,60,100.0
TRAPPC14,60,100.0
TMEM140,60,100.0
RBFOX3,60,100.0
PKDCC,60,100.0
SNRNP25,60,100.0
PFKP,60,100.0
TOB1,60,100.0
HSPB8,60,100.0
CCDC54-AS1,57,95.0
ADAMTS18,57,95.0
KLF6,57,95.0
SMU1P1,57,95.0
MED12L,57,95.0
ADSS2,57,95.0
LINC02289,57,95.0
ASB16-AS1,57,95.0
ZNF859P,57,95.0
RNU6-411P,57,95.0
TRGJP2,57,95.0
DUSP1,57,95.0
DEFB1,57,95.0
ATP6V0E1,57,95.0
KCNK13,57,95.0
SNRPEP10,57,95.0
RBMX2P5,57,95.0
LINC02522,57,95.0
YTHDF3P1,57,95.0
LGALS3,57,95.0
SULT4A1,57,95.0
GALE,57,95.0
EPHA2,57,95.0
ACSM5P1,57,95.0
SETP16,57,95.0
HPYR1,57,95.0
RPL23AP86,57,95.0
DEPP1,57,95.0
RNFT1P3,57,95.0
PSTK,57,95.0
ARHGEF38-IT1,57,95.0
RNU4-49P,57,95.0
TMEM210,57,95.0
RAD51,57,95.0
SEPTIN10,57,95.0
ANXA2,54,90.0
MTCO1P35,54,90.0
EIF1,54,90.0
NAV2,54,90.0
CAMKV,54,90.0
GPR87,54,90.0
TTC9B,54,90.0
USP17L7,54,90.0
SDCBP,54,90.0
RIMKLB,54,90.0
RNU6-935P,54,90.0
NOSTRIN,54,90.0
PCARE,54,90.0
MFSD6L,54,90.0
KRT8P30,54,90.0
NUPR2,54,90.0
RAPSN,54,90.0
ZNF418,54,90.0
NPAS3,54,90.0
ATF3,54,90.0
SCCPDH,54,90.0
COMETT,54,90.0
EDDM3B,54,90.0
PRRG4,54,90.0
LDHA,54,90.0
RNU6-1164P,54,90.0
CXCL14,54,90.0
HSD17B11,54,90.0
LINC00304,54,90.0
CCNB2P1,54,90.0
PLA2G15,54,90.0
LINC02669,54,90.0
SYT2,54,90.0
LINC03028,54,90.0
RPS6KA2,54,90.0
OFD1,54,90.0
APOL1,54,90.0
TMEM45B,54,90.0
LRP2,54,90.0
RPS6KA5,54,90.0
GLRXP2,54,90.0
EZR,54,90.0
SOD2,54,90.0
ARHGAP26,54,90.0
C16orf46-DT,54,90.0
MTND4P22,54,90.0
PSEN1,54,90.0
MAP1LC3B,54,90.0
PELO-AS1,54,90.0
CEACAM21,54,90.0
RNA5SP442,51,85.0
CASP4,51,85.0
MIR342,51,85.0
DSC2,51,85.0
ENPP7P11,51,85.0
ALG13,51,85.0
SHANK3,51,85.0
SLC44A1,51,85.0
MFSD4A,51,85.0
DBR1,51,85.0
CHMP5,51,85.0
BCL2L10,51,85.0
SLC24A5,51,85.0
AQP12A,51,85.0
MTND4P16,51,85.0
ZNF284,51,85.0
LINC02888,51,85.0
SESTD1,51,85.0
PPP1R1B,51,85.0
MTND5P16,51,85.0
CAPZA3,51,85.0
THEM5,51,85.0
FCHO1,51,85.0
FAM83G,51,85.0
TMC3,51,85.0
HCRTR2,51,85.0
DOCK9,51,85.0
PNKD,51,85.0
SNORD101,51,85.0
RNU6-484P,51,85.0
FLOT2,51,85.0
WLS,51,85.0
MIR4511,51,85.0
LINC01166,51,85.0
LINC00885,51,85.0
ZNF723,51,85.0
DNM1P41,51,85.0
DUSP2,51,85.0
KCNG1,51,85.0
MIR5195,51,85.0
TENM2,51,85.0
CHP1,51,85.0
PPM1M,51,85.0
ENAHP1,51,85.0
AADAT,51,85.0
NCLP1,51,85.0
PRAP1,51,85.0
HEPFAL,51,85.0
MIR623,51,85.0
VWA5A,51,85.0
LINC02137,51,85.0
TC2N,51,85.0
CLPSL1,51,85.0
CSTB,51,85.0
B4GALT1-AS1,51,85.0
TMBIM1,48,80.0
EMX1,48,80.0
TMEM237,48,80.0
MIR6877,48,80.0
YPEL3-DT,48,80.0
ABHD3,48,80.0
THBD,48,80.0
MGST1,48,80.0
FDCSP,48,80.0
RACGAP1,48,80.0
EIF2B5-DT,48,80.0
MEGF6,48,80.0
GIMAP3P,48,80.0
CDH12P3,48,80.0
CTNNA1,48,80.0
SPICE1,48,80.0
LINC00891,48,80.0
PLPPR5,48,80.0
NGB,48,80.0
ZNF252P-AS1,48,80.0
SERPINB1,48,80.0
ARL6IP1,48,80.0
FN3KRP,48,80.0
TYMP,48,80.0
ZNF670,48,80.0
GADD45B,48,80.0
MAOA,48,80.0
SUMO2P1,48,80.0
PRSS38,48,80.0
ARL3,48,80.0
HNRNPA1P41,48,80.0
CDK5P1,48,80.0
ANXA1,48,80.0
RPL21P107,48,80.0
STK19,48,80.0
SLC17A4,48,80.0
RPS17P2,48,80.0
TRAV13-2,48,80.0
ATP6V1A,48,80.0
RN7SL182P,48,80.0
MTCP1,48,80.0
NMI,48,80.0
CD200,48,80.0
CT69,48,80.0
IFNA8,48,80.0
KRT18P19,48,80.0
TTC4,48,80.0
RGS12,48,80.0
LINC01010,48,80.0
ZNF385C,48,80.0
LMLN-AS1,48,80.0
RPS27P14,48,80.0
HENMT1,48,80.0
CADM1,45,75.0
NCCRP1,45,75.0
SNORD115,45,75.0
RNU6-876P,45,75.0
NCMAP-DT,45,75.0
ANG,45,75.0
PPIAP73,45,75.0
DDX52,45,75.0
LINC00581,45,75.0
NRIP1,45,75.0
DDC-AS1,45,75.0
OR52I2,45,75.0
RDH13,45,75.0
L3MBTL4,45,75.0
AGAP1,45,75.0
RPL31P12,45,75.0
TUBA1A,45,75.0
MAP3K4-AS1,45,75.0
SMIM41,45,75.0
MTNR1A,45,75.0
SNAI1P1,45,75.0
TMEM170B,45,75.0
LIMK2,45,75.0
DBX2,45,75.0
FOXD1,45,75.0
PERP,45,75.0
OR10V3P,45,75.0
PLSCR1,45,75.0
SPATS2,45,75.0
TBL1XR1,45,75.0
TWF2,45,75.0
RPL22P23,45,75.0
MGST2,45,75.0
RPL39P26,45,75.0
LAMA5-AS1,45,75.0
TLK2P1,45,75.0
C12orf76,45,75.0
MSRB1,45,75.0
LINC01568,45,75.0
SEPHS1P2,45,75.0
RNU6-1205P,45,75.0
SETP2,45,75.0
RNU6-1209P,45,75.0
TMUB2,45,75.0
LINC02514,45,75.0
RNY1P4,45,75.0
MOBP,45,75.0
BBOX1-AS1,45,75.0
NDUFC2-KCTD14,45,75.0
ACTR3P2,45,75.0
MACIR,45,75.0
CDH19,45,75.0
DCT,45,75.0
LINC00534,45,75.0
SLC7A5,45,75.0
MCM5,45,75.0
GPR6,45,75.0
CCDC28A,45,75.0
BATF3,45,75.0
PHAF1,45,75.0
SKAP1,45,75.0
ARL2BPP1,45,75.0
NDRG1,42,70.0
WASF3-AS1,42,70.0
FTH1P11,42,70.0
KRT18P6,42,70.0
NAMPT,42,70.0
EEF1A1P31,42,70.0
SENP8,42,70.0
PABPC1L,42,70.0
KRT7,42,70.0
LRP4,42,70.0
ID3,42,70.0
RPL12P21,42,70.0
RUFY1-AS1,42,70.0
QKILA,42,70.0
RAB11A,42,70.0
EIF4E3,42,70.0
CYB5B,42,70.0
CHN2,42,70.0
RPL36P7,42,70.0
SHROOM3,42,70.0
LINC01475,42,70.0
LINC01315,42,70.0
GNAI1,42,70.0
CLDN4,42,70.0
ZNF165,42,70.0
FAM124B,42,70.0
OSER1,42,70.0
MIR16-1,42,70.0
RNU6-616P,42,70.0
SPDYE18,42,70.0
RNA5SP447,42,70.0
POLD2P1,42,70.0
MVB12B,42,70.0
KRT8P6,42,70.0
NPIPA8,42,70.0
TLCD5,42,70.0
CLIP4,42,70.0
NMT1,42,70.0
RNU4-62P,42,70.0
RSL24D1P6,42,70.0
GXYLT1P2,42,70.0
FAM210A,42,70.0
AGXT2,42,70.0
TTC8,42,70.0
DDIAS,42,70.0
CTRB1,42,70.0
PSMC1P13,42,70.0
GRAPLDR,42,70.0
CDH22,42,70.0
PRMT2,42,70.0
REXO5,42,70.0
LINC03072,42,70.0
MAT2B,42,70.0
RN7SL531P,42,70.0
LINC02672,42,70.0
ADCYAP1R1,42,70.0
ZNF737,39,65.0
CPA6,39,65.0
LRATD2,39,65.0
LINC01964,39,65.0
TSPO,39,65.0
RPS3P2,39,65.0
GCLM,39,65.0
UNC5A,39,65.0
ERRFI1,39,65.0
HGH1,39,65.0
SPATA22,39,65.0
NCMAP,39,65.0
GSTO1,39,65.0
CAPZA2,39,65.0
CD9,39,65.0
PRAMEF12,39,65.0
ZBTB12BP,39,65.0
RPSAP56,39,65.0
S100A1,39,65.0
H2AC21,39,65.0
MCU,39,65.0
HNRNPH1P1,39,65.0
TMEM121,39,65.0
MFSD6,39,65.0
ZNF691-DT,39,65.0
LINC01761,39,65.0
FOXP1,39,65.0
GRAMD1C,39,65.0
CFAP70,39,65.0
P4HA1,39,65.0
PRPF19,39,65.0
SMPDL3A,39,65.0
RAC1P1,39,65.0
SLC7A2,39,65.0
ZNF541,39,65.0
DEGS1,39,65.0
MIR6505,39,65.0
CDH1,39,65.0
LGALSL-DT,39,65.0
SLC25A53,39,65.0
MVP,39,65.0
FAM207BP,39,65.0
LITAF,39,65.0
DHX33-DT,39,65.0
LRRC31,39,65.0
CRACD,39,65.0
TACC2,39,65.0
PTTG1P1,39,65.0
PHYH,39,65.0
DNAJC8P3,39,65.0
GCNT3,39,65.0
NLK,39,65.0
DGKD,39,65.0
RNVU1-33,39,65.0
RBP4,39,65.0
MIR656,39,65.0
ANKRD22,39,65.0
LINC00639,39,65.0
DHDDS-AS1,39,65.0
H3P2,39,65.0
CXCL16,39,65.0
MCL1,39,65.0
DEUP1,39,65.0
TTC36,36,60.0
ARID5A,36,60.0
MIR7850,36,60.0
CYREN,36,60.0
CLIC1,36,60.0
RPL21P98,36,60.0
MUC15,36,60.0
AKAP1,36,60.0
SFTPD-AS1,36,60.0
FENDRR,36,60.0
PTPRR,36,60.0
H3Y2,36,60.0
MIR1-1HG,36,60.0
TRBJ1-6,36,60.0
RHPN2,36,60.0
RNA5SP280,36,60.0
FAM3C,36,60.0
PCGF1,36,60.0
KSR1,36,60.0
IGBP1C,36,60.0
RNU6-1177P,36,60.0
U2,36,60.0
MIR30D,36,60.0
RNU6-640P,36,60.0
ID1,36,60.0
PRLHR,36,60.0
MIR873,36,60.0
SAPCD1-AS1,36,60.0
FBN3,36,60.0
SORCS2,36,60.0
EFNA1,36,60.0
STC1,36,60.0
NXPH1,36,60.0
FAM174B,36,60.0
GOLGA8S,36,60.0
CA3,36,60.0
TTC39C,36,60.0
SRPK1,36,60.0
GATA5,36,60.0
HNRNPA3P7,36,60.0
KLK3,36,60.0
WASIR2,36,60.0
PPBP,36,60.0
DENND6A-AS1,36,60.0
NCR2,36,60.0
TES,36,60.0
SLC37A2,36,60.0
GALNT16,36,60.0
LINC02730,36,60.0
LINC01019,36,60.0
CHI3L1,36,60.0
LINC00665,36,60.0
LINC02021,36,60.0
DTX4,36,60.0
F11R,36,60.0
OR2H5P,36,60.0
DCPS,36,60.0
LINC00550,36,60.0
HAP1,36,60.0
HSPE1P6,36,60.0
MYL12A,36,60.0
UNC80,36,60.0
SLC26A2,36,60.0
LINC02683,36,60.0
ZNHIT3,36,60.0
SLC25A28-DT,36,60.0
ABCA7,36,60.0
EIF4BP1,33,55.00000000000001
CYP2C18,33,55.00000000000001
HEXA,33,55.00000000000001
PDE6B-AS1,33,55.00000000000001
JAKMIP1,33,55.00000000000001
C2CD4A,33,55.00000000000001
RNU6-1267P,33,55.00000000000001
TRAJ14,33,55.00000000000001
SLCO6A1,33,55.00000000000001
LINC02162,33,55.00000000000001
MIR1291,33,55.00000000000001
ARHGAP19-SLIT1,33,55.00000000000001
NADK2-AS1,33,55.00000000000001
RPL9P32,33,55.00000000000001
SNORD1B,33,55.00000000000001
GALNT10,33,55.00000000000001
DNAH7,33,55.00000000000001
RAX,33,55.00000000000001
LINC01095,33,55.00000000000001
IQSEC3-AS2,33,55.00000000000001
TMEM145,33,55.00000000000001
PCCA,33,55.00000000000001
ARRDC3,33,55.00000000000001
MIR3920,33,55.00000000000001
TIGD4,33,55.00000000000001
PHYHIPL,33,55.00000000000001
ZDHHC13,33,55.00000000000001
VKORC1P1,33,55.00000000000001
LINGO2,33,55.00000000000001
BAG1,33,55.00000000000001
RNU6-402P,33,55.00000000000001
RABGAP1L,33,55.00000000000001
NUP43,33,55.00000000000001
CALCR,33,55.00000000000001
CDC42P2,33,55.00000000000001
GPR139,33,55.00000000000001
SPIN4,33,55.00000000000001
TSPAN8,33,55.00000000000001
SMG1P1,33,55.00000000000001
