iteration,model_name,accuracy,precision,recall,f1_score,auc_roc
0,Gaussian NB,0.5789473684210527,0.6011080332409972,0.5789473684210527,0.5836650449653545,0.5615942028985507
0,Multinomial NB,0.5921052631578947,0.5853323785654613,0.5921052631578947,0.5878116343490305,0.5833333333333334
0,Bernoulli NB,0.5263157894736842,0.5317733253588517,0.5263157894736842,0.5286926994906621,0.5289855072463768
1,Gaussian NB,0.5263157894736842,0.49483082706766923,0.5263157894736842,0.5021671826625387,0.4315217391304348
1,Multinomial NB,0.5526315789473685,0.5187537810042347,0.5526315789473685,0.5225202429149798,0.6014492753623188
1,Bernoulli NB,0.5657894736842105,0.5534571723426213,0.5657894736842105,0.5572436245252306,0.5717391304347826
2,Gaussian NB,0.40789473684210525,0.4474456500752984,0.40789473684210525,0.4061517429938483,0.35942028985507246
2,Multinomial NB,0.5657894736842105,0.5534571723426213,0.5657894736842105,0.5572436245252306,0.5057971014492754
2,Bernoulli NB,0.47368421052631576,0.4795903110047847,0.47368421052631576,0.4763252216562913,0.4449275362318841
3,Gaussian NB,0.5394736842105263,0.542142991888323,0.5394736842105263,0.5407181257051835,0.4847826086956521
3,Multinomial NB,0.5,0.511204481792717,0.5,0.5042613636363636,0.4876811594202899
3,Bernoulli NB,0.5,0.5166666666666666,0.5,0.5052854122621565,0.49275362318840576
4,Gaussian NB,0.5394736842105263,0.542142991888323,0.5394736842105263,0.5407181257051835,0.48985507246376814
4,Multinomial NB,0.5657894736842105,0.5848743480322427,0.5657894736842105,0.5705928561526732,0.5840579710144927
4,Bernoulli NB,0.5131578947368421,0.5441225013753896,0.5131578947368421,0.5178138355800822,0.5514492753623188
5,Gaussian NB,0.5394736842105263,0.5475130744408591,0.5394736842105263,0.5426769170116302,0.5681159420289855
5,Multinomial NB,0.5131578947368421,0.5044158014082826,0.5131578947368421,0.5080332409972299,0.527536231884058
5,Bernoulli NB,0.5394736842105263,0.5313879937940088,0.5394736842105263,0.5346260387811634,0.5355072463768116
6,Gaussian NB,0.5,0.49404761904761907,0.5,0.4966984592809978,0.41123188405797106
6,Multinomial NB,0.5131578947368421,0.48373205741626796,0.5131578947368421,0.49189222327805543,0.5043478260869565
6,Bernoulli NB,0.5,0.46428571428571425,0.5,0.4745098039215686,0.48695652173913045
7,Gaussian NB,0.5131578947368421,0.5103100745260069,0.5131578947368421,0.5116495448572224,0.4797101449275363
7,Multinomial NB,0.5263157894736842,0.5149797570850202,0.5263157894736842,0.519266917293233,0.5492753623188406
7,Bernoulli NB,0.4868421052631579,0.44367497691597413,0.4868421052631579,0.45664438488732234,0.5427536231884058
8,Gaussian NB,0.5,0.49404761904761907,0.5,0.4966984592809978,0.49710144927536226
8,Multinomial NB,0.5131578947368421,0.5324980851296641,0.5131578947368421,0.5185435053833003,0.5572463768115942
8,Bernoulli NB,0.5921052631578947,0.6110624794835321,0.5921052631578947,0.5966175315373596,0.5768115942028986
9,Gaussian NB,0.5921052631578947,0.5995882942027372,0.5921052631578947,0.5949424122103011,0.5202898550724637
9,Multinomial NB,0.5657894736842105,0.5632891840753755,0.5657894736842105,0.5644441886564415,0.5840579710144927
9,Bernoulli NB,0.47368421052631576,0.4673402255639098,0.47368421052631576,0.4702089045063135,0.5492753623188406
10,Gaussian NB,0.5394736842105263,0.5064635272391506,0.5394736842105263,0.5123731659245201,0.5333333333333334
10,Multinomial NB,0.5131578947368421,0.5103100745260069,0.5131578947368421,0.5116495448572224,0.536231884057971
10,Bernoulli NB,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5615942028985508
11,Gaussian NB,0.5263157894736842,0.5317733253588517,0.5263157894736842,0.5286926994906621,0.4923913043478261
11,Multinomial NB,0.5789473684210527,0.5741697994987469,0.5789473684210527,0.5761671236050507,0.6094202898550725
11,Bernoulli NB,0.5921052631578947,0.5897787388500598,0.5921052631578947,0.5908415105560512,0.5818840579710145
12,Gaussian NB,0.5131578947368421,0.5214754645599199,0.5131578947368421,0.5165441694122948,0.48079710144927534
12,Multinomial NB,0.4605263157894737,0.4748762149275629,0.4605263157894737,0.4657731862813533,0.47608695652173916
12,Bernoulli NB,0.4473684210526316,0.46447368421052626,0.4473684210526316,0.4532101925002782,0.4652173913043478
13,Gaussian NB,0.5526315789473685,0.525375939849624,0.5526315789473685,0.5298245614035088,0.5333333333333333
