feature,stability_percentage,avg_importance,std_importance
MARCHF3,100.0,0.0026738734061339054,0.0013881799524979386
MCM4,100.0,0.002442333756223656,0.0015687406957291651
SEMA6A-AS1,100.0,0.002407828149984667,0.0011896468069590741
PLXNA4,100.0,0.002378574094366153,0.001650828294520836
HROB,100.0,0.0020649244846964745,0.001717245116818038
PLP2,100.0,0.002040704644185269,0.0015814202403757304
MOCOS,100.0,0.0019390273753195353,0.00143169904592291
ENOX1-AS1,100.0,0.0018390882423075284,0.0010661875116332134
RNU4ATAC18P,100.0,0.0017315889363402868,0.0010912494566889881
GABARAPL1,100.0,0.0016053560054698566,0.0011096468951885864
LGALS7B,100.0,0.0015651812387065082,0.0010948098299983914
LINC01358,100.0,0.0015416157306929836,0.0011078049771017738
SND1-DT,100.0,0.0014611092618929096,0.0011039112684259685
LINC01565,100.0,0.0014429415363728499,0.0010865943373015029
CD55,100.0,0.0013253703822026135,0.0009634735155692252
FRMD4A,100.0,0.0013222741029876772,0.0008141818351470998
TGIF1,100.0,0.001281259900353583,0.0008323261092511563
SDCBP2,100.0,0.00126666846663786,0.0011526165313299483
SCAT8,100.0,0.0012545763324625701,0.0008776057511295009
JPT1,100.0,0.0012432852953872398,0.001014915873979538
RIOK3,100.0,0.0012188602644446155,0.0008125542259641813
ARG2,100.0,0.0012142587251789594,0.0008326197221812301
RTN3,100.0,0.0011112996295947635,0.0005928991535065117
HPSE,100.0,0.0010916154972487428,0.0007325280026051671
LINC00882,100.0,0.0010910171944149096,0.000771516459913227
DCTPP1,100.0,0.0010600409537983185,0.0006745064315673979
KMO,100.0,0.0009672657758726322,0.0008198587137358391
RPS20P10,100.0,0.0006664917714343102,0.0008136051961251988
TBC1D28,100.0,0.00033466165835961063,0.0003712714018422183
CBLL2,100.0,0.00024067400502314566,0.000295071223020687
