iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,oob_score,max_depth_used
0,RandomForest,0.6578947368421053,0.5445906432748538,0.6578947368421053,0.5633034198399224,0.5536858974358975,0.7275747508305648,9.7
0,ExtraTrees,0.6578947368421053,0.5445906432748538,0.6578947368421053,0.5633034198399224,0.5200320512820513,0.7375415282392026,10.0
0,RF_Deeper,0.6710526315789473,0.5739005046863734,0.6710526315789473,0.5707602339181287,0.5420673076923077,0.7209302325581395,11.5
1,RandomForest,0.6973684210526315,0.7901754385964912,0.6973684210526315,0.5855615416493991,0.5496794871794871,0.7242524916943521,9.7
1,ExtraTrees,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.5761217948717949,0.7375415282392026,10.0
1,RF_Deeper,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5709134615384615,0.7275747508305648,11.7
2,RandomForest,0.6578947368421053,0.46230440967283076,0.6578947368421053,0.5430242272347535,0.49599358974358976,0.7142857142857143,9.5
2,ExtraTrees,0.631578947368421,0.45614035087719296,0.631578947368421,0.5297113752122241,0.5440705128205128,0.7475083056478405,10.0
2,RF_Deeper,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.4947916666666667,0.7342192691029901,11.6
3,RandomForest,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.5873397435897436,0.7142857142857143,9.7
3,ExtraTrees,0.6710526315789473,0.5739005046863734,0.6710526315789473,0.5707602339181287,0.5096153846153846,0.7574750830564784,10.0
3,RF_Deeper,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.5921474358974359,0.7242524916943521,12.5
4,RandomForest,0.631578947368421,0.541795665634675,0.631578947368421,0.5640350877192982,0.5352564102564102,0.7209302325581395,9.6
4,ExtraTrees,0.6578947368421053,0.5445906432748538,0.6578947368421053,0.5633034198399224,0.546474358974359,0.7441860465116279,10.0
4,RF_Deeper,0.631578947368421,0.5120300751879698,0.631578947368421,0.5482312338222606,0.5348557692307692,0.7109634551495017,11.2
5,RandomForest,0.631578947368421,0.541795665634675,0.631578947368421,0.5640350877192982,0.5192307692307693,0.7142857142857143,9.5
5,ExtraTrees,0.6447368421052632,0.5257227575982208,0.6447368421052632,0.5557965561506795,0.5120192307692308,0.7541528239202658,9.9
5,RF_Deeper,0.6447368421052632,0.5257227575982208,0.6447368421052632,0.5557965561506795,0.5448717948717948,0.707641196013289,10.6
6,RandomForest,0.6578947368421053,0.5445906432748538,0.6578947368421053,0.5633034198399224,0.6314102564102564,0.7275747508305648,9.8
6,ExtraTrees,0.6973684210526315,0.6885364095169431,0.6973684210526315,0.6050994152046784,0.640224358974359,0.7375415282392026,10.0
6,RF_Deeper,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.5861378205128205,0.717607973421927,11.2
7,RandomForest,0.6710526315789473,0.6113108859104281,0.6710526315789473,0.6039652583872371,0.5196314102564102,0.7475083056478405,10.0
7,ExtraTrees,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.578525641025641,0.7574750830564784,10.0
7,RF_Deeper,0.6973684210526315,0.6885364095169431,0.6973684210526315,0.6050994152046784,0.5032051282051282,0.7242524916943521,11.6
8,RandomForest,0.6710526315789473,0.5739005046863734,0.6710526315789473,0.5707602339181287,0.5825320512820513,0.6976744186046512,9.9
8,ExtraTrees,0.6710526315789473,0.5739005046863734,0.6710526315789473,0.5707602339181287,0.5488782051282051,0.7475083056478405,9.9
8,RF_Deeper,0.6973684210526315,0.7901754385964912,0.6973684210526315,0.5855615416493991,0.5641025641025641,0.6910299003322259,12.3
9,RandomForest,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5849358974358975,0.7209302325581395,10.0
9,ExtraTrees,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5512820512820513,0.717607973421927,10.0
9,RF_Deeper,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5761217948717948,0.717607973421927,12.1
10,RandomForest,0.6578947368421053,0.6031897926634769,0.6578947368421053,0.6077556803274388,0.46314102564102566,0.7109634551495017,9.5
10,ExtraTrees,0.618421052631579,0.5012531328320802,0.618421052631579,0.540599699729195,0.46794871794871795,0.7043189368770764,10.0
10,RF_Deeper,0.6710526315789473,0.6113108859104281,0.6710526315789473,0.6039652583872371,0.4599358974358974,0.6777408637873754,11.0
11,RandomForest,0.6052631578947368,0.5537230172204705,0.6052631578947368,0.5706371191135734,0.5048076923076923,0.7242524916943521,9.7
11,ExtraTrees,0.6973684210526315,0.6713120830244625,0.6973684210526315,0.6216044737579862,0.5713141025641025,0.7209302325581395,10.0
11,RF_Deeper,0.618421052631579,0.5012531328320802,0.618421052631579,0.540599699729195,0.48517628205128205,0.6943521594684385,12.3
12,RandomForest,0.6578947368421053,0.46230440967283076,0.6578947368421053,0.5430242272347535,0.6177884615384616,0.7142857142857143,9.8
12,ExtraTrees,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.6370192307692308,0.770764119601329,10.0
12,RF_Deeper,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.6366185897435898,0.717607973421927,11.0
13,RandomForest,0.6578947368421053,0.46230440967283076,0.6578947368421053,0.5430242272347535,0.6378205128205129,0.7275747508305648,9.6
13,ExtraTrees,0.6973684210526315,0.6885364095169431,0.6973684210526315,0.6050994152046784,0.6209935897435898,0.7408637873754153,10.0
13,RF_Deeper,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.6209935897435896,0.7142857142857143,10.1
14,RandomForest,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.5264423076923077,0.6976744186046512,9.8
14,ExtraTrees,0.6447368421052632,0.5257227575982208,0.6447368421052632,0.5557965561506795,0.6041666666666666,0.7408637873754153,10.0
14,RF_Deeper,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.5528846153846154,0.6943521594684385,11.6
15,RandomForest,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.5985576923076923,0.7209302325581395,9.7
15,ExtraTrees,0.6710526315789473,0.4652631578947368,0.6710526315789473,0.5495234148363034,0.6121794871794872,0.7441860465116279,10.0
15,RF_Deeper,0.6842105263157895,0.46814404432132967,0.6842105263157895,0.555921052631579,0.6017628205128205,0.7242524916943521,10.9
16,RandomForest,0.6710526315789473,0.5739005046863734,0.6710526315789473,0.5707602339181287,0.641025641025641,0.7209302325581395,9.8
16,ExtraTrees,0.6973684210526315,0.6885364095169431,0.6973684210526315,0.6050994152046784,0.686698717948718,0.7574750830564784,10.0
16,RF_Deeper,0.6710526315789473,0.5739005046863734,0.6710526315789473,0.5707602339181287,0.6774839743589745,0.7242524916943521,11.6
17,RandomForest,0.6578947368421053,0.574436090225564,0.6578947368421053,0.5805004314063849,0.5809294871794872,0.6877076411960132,9.8
17,ExtraTrees,0.6578947368421053,0.5445906432748538,0.6578947368421053,0.5633034198399224,0.4887820512820513,0.717607973421927,10.0
17,RF_Deeper,0.6842105263157895,0.6294452347083926,0.6842105263157895,0.5781762097551572,0.5584935897435898,0.6843853820598007,11.9
18,RandomForest,0.7236842105263158,0.8031723143475126,0.7236842105263158,0.639438596491228,0.6810897435897436,0.717607973421927,9.5
18,ExtraTrees,0.7105263157894737,0.7965860597439545,0.7105263157894737,0.6133281922755607,0.6057692307692308,0.7441860465116279,10.0
18,RF_Deeper,0.7105263157894737,0.7965860597439545,0.7105263157894737,0.6133281922755607,0.624198717948718,0.7209302325581395,10.4
19,RandomForest,0.6973684210526315,0.6885364095169431,0.6973684210526315,0.6050994152046784,0.65625,0.7209302325581395,9.9
19,ExtraTrees,0.6973684210526315,0.7901754385964912,0.6973684210526315,0.5855615416493991,0.6666666666666666,0.7475083056478405,10.0
19,RF_Deeper,0.6973684210526315,0.7901754385964912,0.6973684210526315,0.5855615416493991,0.6594551282051282,0.7142857142857143,11.5
