feature,frequency,percentage
FRMD4A,80,100.0
CD55,80,100.0
GABARAPL1,80,100.0
MARCHF3,80,100.0
CBLL2,80,100.0
MOCOS,80,100.0
TGIF1,80,100.0
LGALS7B,80,100.0
RNU4ATAC18P,80,100.0
DCTPP1,80,100.0
ARG2,80,100.0
SEMA6A-AS1,80,100.0
RTN3,80,100.0
JPT1,80,100.0
LINC00882,80,100.0
TBC1D28,80,100.0
SND1-DT,80,100.0
HPSE,80,100.0
SDCBP2,80,100.0
HROB,80,100.0
LINC01565,80,100.0
RIOK3,80,100.0
PLP2,80,100.0
LINC01358,80,100.0
KMO,80,100.0
SCAT8,80,100.0
MCM4,80,100.0
PLXNA4,80,100.0
RPS20P10,80,100.0
ENOX1-AS1,80,100.0
PWWP2AP1,80,100.0
HTATIP2,80,100.0
ADAM7,80,100.0
ALDH2,80,100.0
LINC00261,80,100.0
LRRC52,80,100.0
TAGLN2,80,100.0
MGST3,80,100.0
ADAM22,80,100.0
RETREG1,80,100.0
LINC02340,80,100.0
TRAPPC14,80,100.0
TMEM140,80,100.0
RBFOX3,80,100.0
PKDCC,80,100.0
SNRNP25,80,100.0
PFKP,80,100.0
TOB1,80,100.0
HSPB8,80,100.0
CCDC54-AS1,76,95.0
ADAMTS18,76,95.0
KLF6,76,95.0
SMU1P1,76,95.0
MED12L,76,95.0
ADSS2,76,95.0
LINC02289,76,95.0
ASB16-AS1,76,95.0
ZNF859P,76,95.0
RNU6-411P,76,95.0
TRGJP2,76,95.0
DUSP1,76,95.0
DEFB1,76,95.0
ATP6V0E1,76,95.0
KCNK13,76,95.0
SNRPEP10,76,95.0
RBMX2P5,76,95.0
LINC02522,76,95.0
YTHDF3P1,76,95.0
LGALS3,76,95.0
SULT4A1,76,95.0
GALE,76,95.0
EPHA2,76,95.0
ACSM5P1,76,95.0
SETP16,76,95.0
HPYR1,76,95.0
RPL23AP86,76,95.0
DEPP1,76,95.0
RNFT1P3,76,95.0
PSTK,76,95.0
ARHGEF38-IT1,76,95.0
RNU4-49P,76,95.0
TMEM210,76,95.0
RAD51,76,95.0
SEPTIN10,76,95.0
ANXA2,72,90.0
MTCO1P35,72,90.0
EIF1,72,90.0
NAV2,72,90.0
