feature,stability_percentage,avg_coefficient_magnitude
RNU4ATAC18P,100.0,0.024233355872917656
LGALS7B,100.0,0.02337034888706461
SND1-DT,100.0,0.016033121703883064
TBC1D28,100.0,0.010267504014162637
FRMD4A,100.0,0.009605714432630922
SEMA6A-AS1,100.0,0.009479412964957145
MARCHF3,100.0,0.009103084578504785
CBLL2,100.0,0.008592233988806229
HPSE,100.0,0.0068210108095975745
SDCBP2,100.0,0.006283159638851625
HROB,100.0,0.0055901450766154565
DCTPP1,100.0,0.005367478738744278
TGIF1,100.0,0.004269253059413726
MOCOS,100.0,0.004129740348398499
ARG2,100.0,0.0036944226621357283
CD55,100.0,0.0035817265790376953
LINC00882,100.0,0.003291814756272151
JPT1,100.0,0.002798827717888968
GABARAPL1,100.0,0.002519406741836012
RTN3,100.0,0.0025059733161064187
