feature,frequency,percentage
LINC01565,60,100.0
HROB,60,100.0
GABARAPL1,60,100.0
TRGJP2,57,95.0
DUSP1,57,95.0
JPT1,57,95.0
SNRNP25,57,95.0
LINC00261,57,95.0
SND1-DT,57,95.0
ARG2,57,95.0
TOB1,57,95.0
ADAM22,57,95.0
TRAPPC14,54,90.0
RNU4ATAC18P,54,90.0
LGALS7B,54,90.0
ADAM7,54,90.0
CBLL2,54,90.0
PLXNA4,54,90.0
SMU1P1,54,90.0
HSPB8,54,90.0
TMEM210,54,90.0
LRRC52,54,90.0
RIOK3,54,90.0
MARCHF3,54,90.0
RPS20P10,54,90.0
SNRPEP10,51,85.0
PLP2,51,85.0
ADAMTS18,51,85.0
LINC01358,51,85.0
TAGLN2,51,85.0
CAMKV,51,85.0
CEACAM21,51,85.0
SDCBP2,51,85.0
LINC02340,51,85.0
PELO-AS1,51,85.0
MOCOS,51,85.0
ASB16-AS1,51,85.0
HPYR1,51,85.0
KMO,51,85.0
FRMD4A,51,85.0
PRRG4,51,85.0
SCAT8,51,85.0
EDDM3B,51,85.0
PWWP2AP1,51,85.0
RETREG1,51,85.0
KCNK13,51,85.0
SEMA6A-AS1,51,85.0
DCTPP1,48,80.0
ATP6V0E1,48,80.0
LINC00882,48,80.0
ARHGAP26,48,80.0
APOL1,48,80.0
ARHGEF38-IT1,48,80.0
EPHA2,48,80.0
MTND4P22,48,80.0
NOSTRIN,48,80.0
HTATIP2,48,80.0
MTCO1P35,48,80.0
MIR623,48,80.0
