feature,stability_percentage,avg_importance,std_importance
PLXNA4,90.0,0.006285542449741451,0.010248899909690556
LINC00261,95.0,0.00607373222725041,0.0072305111409550074
MARCHF3,90.0,0.0055057559403832316,0.0077523280176134335
PLP2,85.0,0.003881107130106173,0.009005280226831447
RNU4ATAC18P,90.0,0.003869533026806527,0.0054494944232173805
ARG2,95.0,0.0029475089210328612,0.007203521908744632
HROB,100.0,0.0029172368961250567,0.006341594250537081
JPT1,95.0,0.0026750231327401196,0.006280266253886702
SND1-DT,95.0,0.002598759013620254,0.005108527570585021
LGALS7B,90.0,0.0024268120555293368,0.004035230737011461
TMEM210,90.0,0.0024221744086524405,0.005729213686739906
LRRC52,90.0,0.0022192191304552748,0.0030834605680415982
TRAPPC14,90.0,0.0020858328864926954,0.0037673015922766026
LINC01358,85.0,0.0013535327972004226,0.0036941672663476474
ADAM22,95.0,0.0013236561095701497,0.001702245901854798
TOB1,95.0,0.001062893780998134,0.0021825576306076823
DUSP1,95.0,0.0008588004949208545,0.003015412189575231
GABARAPL1,100.0,0.0008207780212008705,0.0025870628443344585
ADAMTS18,85.0,0.0007899434935739811,0.002470370661085374
RIOK3,90.0,0.0006532461807687974,0.0024687544702156733
LINC01565,100.0,0.0006179317754382888,0.0016737350932662905
SNRNP25,95.0,0.000501467738088155,0.0022657486702124833
ADAM7,90.0,0.00046243678123034814,0.002066564524449085
TAGLN2,85.0,0.00040267600250480624,0.0019365976267311802
SMU1P1,90.0,0.0003444889249900977,0.0013166199738023946
HSPB8,90.0,0.00023506788433964916,0.001459631675822857
TRGJP2,95.0,9.598388549005776e-05,0.0007182776283102774
RPS20P10,90.0,8.185920133082955e-05,0.0005959439811371771
CBLL2,90.0,8.081436950575423e-05,0.0005883374906348114
SNRPEP10,85.0,0.0,0.0
