feature,frequency,percentage
LINC01565,60,100.0
TMEM210,60,100.0
ARRDC3,60,100.0
ZNF284,60,100.0
GABARAPL1,60,100.0
MOCOS,60,100.0
SNRNP25,60,100.0
ZNF165,57,95.0
DUSP1,57,95.0
CTNNA1,57,95.0
LINC02340,57,95.0
EIF1,57,95.0
VWA5A,57,95.0
LIMK2,57,95.0
MAOA,57,95.0
SDCBP2,57,95.0
RNU4-49P,57,95.0
ATF3,57,95.0
ARG2,57,95.0
TTC39C,57,95.0
NPHP4,57,95.0
SPRING1,54,90.0
FN3KRP,54,90.0
RMND5A,54,90.0
SCCPDH,54,90.0
ATL3,54,90.0
ALDH2,54,90.0
FAM210A,54,90.0
JPT1,54,90.0
RAB33B,54,90.0
ARL6IP1,54,90.0
CREM,54,90.0
SEPTIN10,54,90.0
RTN3,54,90.0
ABCA7,54,90.0
CAMK2D,54,90.0
TOB1,54,90.0
LRRC52,54,90.0
MAP1LC3B,54,90.0
ADSS2,54,90.0
DBR1,54,90.0
TMBIM1,54,90.0
LGALS7B,54,90.0
CHP1,54,90.0
HTATIP2,54,90.0
MCM4,54,90.0
HROB,54,90.0
WLS,54,90.0
RIOK3,54,90.0
HSPB8,51,85.0
NDRG1,51,85.0
NAMPT,51,85.0
TMEM237,51,85.0
C6orf62,51,85.0
CAMKV,51,85.0
USP17L7,51,85.0
LITAF,51,85.0
PPP1CB,51,85.0
DUSP19,51,85.0
CD55,51,85.0
HIBADH,51,85.0
LINC01358,51,85.0
FLOT2,51,85.0
SERPINB1,51,85.0
TLCD5,51,85.0
C12orf76,51,85.0
ADAMTS18,51,85.0
H3C11,51,85.0
EIF2S3,51,85.0
NUP43,51,85.0
LGALS3,51,85.0
TBL1XR1,51,85.0
MORF4L1,51,85.0
CTH,51,85.0
PLXNA4,48,80.0
TC2N,48,80.0
LRRC57,48,80.0
LINC02104,48,80.0
DSC2,48,80.0
LAPTM4B,48,80.0
OSER1,48,80.0
ANXA1,48,80.0
RAB11A,48,80.0
PLA2G15,48,80.0
SPICE1,48,80.0
RPS6KA5,48,80.0
PCCA,48,80.0
USP1,48,80.0
TMEM140,48,80.0
TAGLN2,48,80.0
DEGS1,48,80.0
ID3,48,80.0
LINC02888,48,80.0
SOD2,48,80.0
STX8,48,80.0
FOS,48,80.0
MFSD6L,48,80.0
MAT2B,48,80.0
LINC02289,48,80.0
RETREG1,48,80.0
NUP37,48,80.0
RDH13,45,75.0
ZBTB48,45,75.0
MACIR,45,75.0
STK19,45,75.0
MSRB1,45,75.0
CAPZA1,45,75.0
CCDC28A,45,75.0
SLC17A4,45,75.0
PERP,45,75.0
PTPRR,45,75.0
UBE2B,45,75.0
SET,45,75.0
ZNF670,45,75.0
P4HA1,45,75.0
SDCBP,45,75.0
SLC2A9,45,75.0
RIN2,45,75.0
ARID5B,45,75.0
PHYH,45,75.0
KCNG1,45,75.0
VPS41,45,75.0
RIMKLB,45,75.0
HPSE,45,75.0
NCLP1,45,75.0
PLSCR1,45,75.0
TGIF1,45,75.0
GIMAP3P,45,75.0
GPRC5A,45,75.0
SMU1P1,42,70.0
SERINC5,42,70.0
RBP4,42,70.0
SDC4,42,70.0
LRP2,42,70.0
ARL3,42,70.0
HOXA7,42,70.0
ANXA4,42,70.0
ATP6V1A,42,70.0
RNU6-1209P,42,70.0
CTTN,42,70.0
KNSTRN,42,70.0
CAPZA3,42,70.0
CLDN24,42,70.0
PLS3,42,70.0
CAST,42,70.0
TUBA1A,42,70.0
HENMT1,42,70.0
ID1,42,70.0
THBD,42,70.0
ZNF544,42,70.0
MST1R,42,70.0
STAU2,42,70.0
DHCR24,42,70.0
ZDHHC4,42,70.0
PHYHIPL,42,70.0
ADAM22,42,70.0
CALM1,42,70.0
ECHDC1,42,70.0
CASTOR2,42,70.0
ARID5A,42,70.0
BCDIN3D,42,70.0
HSD17B11,42,70.0
RPSAP56,39,65.0
KRT7,39,65.0
CCN1,39,65.0
ZNF622,39,65.0
LARP4B,39,65.0
MCU,39,65.0
COMETT,39,65.0
DDX52,39,65.0
MFSD4A,39,65.0
ADAM7,39,65.0
SLC41A2,39,65.0
TMUB2,39,65.0
INSR,39,65.0
MTND4P16,39,65.0
NPAS3,39,65.0
EIF4A2,39,65.0
DUSP2,39,65.0
SMIM44,39,65.0
GATA2-AS1,39,65.0
STXBP3,39,65.0
CSRP3-AS1,39,65.0
NCOA7,39,65.0
ACOT9,39,65.0
EPHA2,39,65.0
SMPDL3A,39,65.0
MIR5195,39,65.0
KMO,39,65.0
SPECC1L-ADORA2A,39,65.0
MAP3K4-AS1,39,65.0
KBTBD4,39,65.0
BCL2L10,39,65.0
SLC24A5,39,65.0
ASNSD1,39,65.0
PSEN1,39,65.0
MBOAT1,39,65.0
PPP1R14D,39,65.0
APOL1,39,65.0
CCNB2P1,39,65.0
RACGAP1,39,65.0
MTCP1,39,65.0
SNORD115,39,65.0
MGST1,39,65.0
HSPD1P3,39,65.0
LINC01511,39,65.0
CAPZA2,39,65.0
DYNLRB1,39,65.0
STK17B,39,65.0
PTPN11P1,39,65.0
LSMEM1,39,65.0
NMI,39,65.0
BFAR,39,65.0
LETM2,39,65.0
RAP1GDS1,39,65.0
ZNF418,39,65.0
RNU6-130P,39,65.0
DERA,39,65.0
MTCO1P35,36,60.0
TMEM176A,36,60.0
SNX24,36,60.0
EZR,36,60.0
RN7SL16P,36,60.0
EIF4A2P4,36,60.0
NSUN3,36,60.0
FRMD4A,36,60.0
LINC00304,36,60.0
SNRPEP10,36,60.0
LDHA,36,60.0
RTP4,36,60.0
NECTIN4,36,60.0
CDKN1A,36,60.0
PRXL2C,36,60.0
PCMT1,36,60.0
P2RX4,36,60.0
ZDHHC13,36,60.0
ZNF549,36,60.0
COX7A2P1,36,60.0
TPGS1,36,60.0
CDH1,36,60.0
AP1AR-DT,36,60.0
RAD51,36,60.0
CRLF3,36,60.0
ARNT,36,60.0
SORBS2-AS1,36,60.0
LINC02522,36,60.0
DBX2,36,60.0
ENPP7P11,36,60.0
DNAJC22,36,60.0
NBR2,36,60.0
GADD45B,36,60.0
LINC00581,36,60.0
CA8,36,60.0
WDR1,36,60.0
MCM5,36,60.0
NCCRP1,36,60.0
PRMT2,36,60.0
PPBP,36,60.0
RPL21P88,36,60.0
GPC4,36,60.0
CYP2C18,36,60.0
NANOGP5,36,60.0
PPP4R2P2,36,60.0
EIF2B5-DT,36,60.0
CD47,36,60.0
DAGLB,36,60.0
STRN3,36,60.0
PFKP,36,60.0
DPYSL2,36,60.0
SUN1,36,60.0
DEPP1,36,60.0
AMOTL2,36,60.0
CHMP5,36,60.0
ATP6V0E1,36,60.0
DEFB1,36,60.0
GCNT1,36,60.0
ANKRD10,36,60.0
PHAF1,33,55.00000000000001
CLYBL,33,55.00000000000001
ASB16-AS1,33,55.00000000000001
AADAT,33,55.00000000000001
GALNT11,33,55.00000000000001
ZNF691-DT,33,55.00000000000001
WWC1,33,55.00000000000001
PTGER2,33,55.00000000000001
CADM1,33,55.00000000000001
LINC02672,33,55.00000000000001
REXO2,33,55.00000000000001
SPATA20,33,55.00000000000001
SNORD99,33,55.00000000000001
LRATD2,33,55.00000000000001
RAB9A,33,55.00000000000001
RNF112,33,55.00000000000001
SLC7A2,33,55.00000000000001
GLOD4,33,55.00000000000001
TRIM47,33,55.00000000000001
SLC7A5,33,55.00000000000001
DOCK6-AS1,33,55.00000000000001
RNU6-198P,33,55.00000000000001
CD200,33,55.00000000000001
ZFP36L2,33,55.00000000000001
SKIL,33,55.00000000000001
PPP1R15A,33,55.00000000000001
VPS4B,33,55.00000000000001
MVP,33,55.00000000000001
CTXN1,33,55.00000000000001
HAL,33,55.00000000000001
CYB5B,33,55.00000000000001
DPPA4,33,55.00000000000001
YWHAZP10,33,55.00000000000001
SMU1,33,55.00000000000001
SENP8,33,55.00000000000001
RPL23AP86,33,55.00000000000001
SCAT8,33,55.00000000000001
TRIM49,33,55.00000000000001
NUPR2,33,55.00000000000001
PWWP2AP1,33,55.00000000000001
TMCO3,33,55.00000000000001
TNFSF12,33,55.00000000000001
INAVA,33,55.00000000000001
ITGB1BP1,33,55.00000000000001
RSU1P3,33,55.00000000000001
PKDCC,33,55.00000000000001
TMEM186,33,55.00000000000001
MRPL45,33,55.00000000000001
MIXL1,33,55.00000000000001
GCNT3,33,55.00000000000001
NFKBIZ,33,55.00000000000001
MAFF,33,55.00000000000001
PGM2,33,55.00000000000001
CEBPG,33,55.00000000000001
CXCL14,33,55.00000000000001
B3GLCT,33,55.00000000000001
TRIM69,33,55.00000000000001
KLF6,33,55.00000000000001
NRBF2,33,55.00000000000001
PCGF1,33,55.00000000000001
BAG4,33,55.00000000000001
PDE6B-AS1,33,55.00000000000001
SLC35F5,33,55.00000000000001
LINC00534,33,55.00000000000001
CACUL1,33,55.00000000000001
JPT2,33,55.00000000000001
SMYD2,33,55.00000000000001
IAH1,33,55.00000000000001
ANXA2,33,55.00000000000001
DHX15,33,55.00000000000001
PRRG4,33,55.00000000000001
HEPHL1,33,55.00000000000001
TMBIM4,33,55.00000000000001
DUSP5P1,33,55.00000000000001
GPR39,33,55.00000000000001
