iteration,model_name,accuracy,precision,recall,f1_score,auc_roc,best_iteration,training_loss,validation_loss
0,XGB_Default,0.4342105263157895,0.4716468590831918,0.4342105263157895,0.4498002269027771,0.4723557692307693,5,0.7147303922254531,
0,XGB_Regularized,0.5394736842105263,0.5543620957154791,0.5394736842105263,0.5461790761119456,0.46794871794871795,22,0.679606138072053,
0,XGB_Deep,0.618421052631579,0.5641668273247221,0.618421052631579,0.5799492856701094,0.5761217948717948,19,0.6384155112700384,
1,XGB_Default,0.618421052631579,0.5869234402056986,0.618421052631579,0.5978790086620639,0.48677884615384615,6,0.6473009702367861,
1,XGB_Regularized,0.618421052631579,0.5964912280701754,0.618421052631579,0.6049880408296183,0.5328525641025641,9,0.6513600923487397,
1,XGB_Deep,0.6052631578947368,0.5870300751879699,0.6052631578947368,0.5946305156831473,0.6125801282051282,5,0.6803072202401083,
2,XGB_Default,0.6052631578947368,0.596314017366649,0.6052631578947368,0.6004058546694875,0.4959935897435898,5,0.7184768502340942,
2,XGB_Regularized,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.4823717948717949,13,0.6975862239716483,
2,XGB_Deep,0.6447368421052632,0.5993188098451256,0.6447368421052632,0.6089183004514812,0.5352564102564102,8,0.6551661387574478,
3,XGB_Default,0.5921052631578947,0.5779904306220096,0.5921052631578947,0.5842269224463026,0.5649038461538461,8,0.7268517514477011,
3,XGB_Regularized,0.5131578947368421,0.5571380883498387,0.5131578947368421,0.5285318559556786,0.5765224358974359,4,0.6949348532762684,
3,XGB_Deep,0.6447368421052632,0.6086281276962899,0.6447368421052632,0.6178925871520189,0.6057692307692308,10,0.6603462661876053,
4,XGB_Default,0.5,0.5678670360110804,0.5,0.5175627240143369,0.5072115384615384,0,0.7202258642579689,
4,XGB_Regularized,0.4868421052631579,0.5500237079184448,0.4868421052631579,0.5048687292000493,0.4667467948717949,0,0.6938020718879387,
4,XGB_Deep,0.5789473684210527,0.6066361556064073,0.5789473684210527,0.5894498150137247,0.547676282051282,0,0.7194764296539494,
5,XGB_Default,0.618421052631579,0.5869234402056986,0.618421052631579,0.5978790086620639,0.4623397435897436,11,0.6458343939214456,
5,XGB_Regularized,0.6447368421052632,0.6251154201292706,0.6447368421052632,0.6322302449103344,0.516826923076923,27,0.6087512239569524,
5,XGB_Deep,0.631578947368421,0.5973684210526315,0.631578947368421,0.6078947368421053,0.46233974358974356,20,0.5800103655115503,
6,XGB_Default,0.5526315789473685,0.5812356979405034,0.5526315789473685,0.5637904284520825,0.5140224358974359,2,0.7228212906200377,
6,XGB_Regularized,0.5131578947368421,0.5478211658177702,0.5131578947368421,0.5265722882651802,0.5448717948717949,1,0.6989081428676355,
6,XGB_Deep,0.5789473684210527,0.5016447368421053,0.5789473684210527,0.5305505142165758,0.592948717948718,18,0.6495877004793433,
7,XGB_Default,0.6052631578947368,0.5870300751879699,0.6052631578947368,0.5946305156831473,0.4979967948717948,0,0.7022864112599951,
7,XGB_Regularized,0.5921052631578947,0.6056808688387637,0.5921052631578947,0.5980443245562946,0.4903846153846153,0,0.6970313909600993,
7,XGB_Deep,0.5789473684210527,0.5477918935269207,0.5789473684210527,0.5603554340396446,0.46955128205128205,3,0.6774656992466723,
8,XGB_Default,0.5789473684210527,0.5882591093117409,0.5789473684210527,0.5832404540763674,0.5096153846153846,0,0.72995831170043,
8,XGB_Regularized,0.5394736842105263,0.5732126013959631,0.5394736842105263,0.5521629753859812,0.5016025641025641,0,0.7062377748919315,
8,XGB_Deep,0.5657894736842105,0.5392428439519852,0.5657894736842105,0.5505036326681864,0.5084134615384615,1,0.7331834845855588,
9,XGB_Default,0.6052631578947368,0.5386513157894737,0.6052631578947368,0.55989110707804,0.5625,25,0.6400294396110245,
9,XGB_Regularized,0.6447368421052632,0.6251154201292706,0.6447368421052632,0.6322302449103344,0.6133814102564102,9,0.6692887688757944,
9,XGB_Deep,0.6710526315789473,0.6203194553548049,0.6710526315789473,0.617023843030035,0.6041666666666667,15,0.6362087755906777,
10,XGB_Default,0.5526315789473685,0.5422647527910686,0.5526315789473685,0.5471266352920857,0.4719551282051282,14,0.6529330409696845,
10,XGB_Regularized,0.5526315789473685,0.5184513006654567,0.5526315789473685,0.5328776486671224,0.3942307692307693,40,0.6179383367788597,
10,XGB_Deep,0.631578947368421,0.5873150618481688,0.631578947368421,0.5992613111726686,0.4887820512820513,28,0.6011656024416939,
11,XGB_Default,0.4868421052631579,0.5316568376543898,0.4868421052631579,0.5030470914127424,0.4583333333333333,6,0.7044981923259672,
11,XGB_Regularized,0.40789473684210525,0.46367137355584076,0.40789473684210525,0.42807401225864,0.4014423076923077,0,0.6941285157789949,
11,XGB_Deep,0.5394736842105263,0.6021811284969181,0.5394736842105263,0.5556514236410699,0.546474358974359,0,0.699512573783515,
12,XGB_Default,0.6447368421052632,0.6569996419620479,0.6447368421052632,0.6499095730006438,0.5837339743589745,0,0.720950722694397,
