feature,frequency,percentage
PLSCR1,120,100.0
TOB1,120,100.0
USP17L7,120,100.0
MAP1LC3B,120,100.0
HTATIP2,120,100.0
TAGLN2,120,100.0
CAPZA3,120,100.0
LINC01565,120,100.0
ABCA7,120,100.0
FN3KRP,120,100.0
FAM210A,120,100.0
PCCA,120,100.0
ALDH2,120,100.0
TMEM210,120,100.0
SLC17A4,120,100.0
RTN3,120,100.0
TMBIM1,120,100.0
PLXNA4,120,100.0
LRP2,120,100.0
RIOK3,120,100.0
HIBADH,120,100.0
ARG2,120,100.0
RETREG1,120,100.0
CLDN24,120,100.0
RMND5A,120,100.0
MACIR,120,100.0
LIMK2,120,100.0
DBR1,120,100.0
MCM4,120,100.0
MOCOS,120,100.0
LAPTM4B,120,100.0
HSPB8,120,100.0
NPAS3,120,100.0
GABARAPL1,120,100.0
ZNF165,120,100.0
EIF1,120,100.0
SDCBP2,120,100.0
DUSP1,120,100.0
NUP43,120,100.0
RNU4-49P,120,100.0
TTC39C,120,100.0
CHP1,120,100.0
JPT1,120,100.0
SCCPDH,120,100.0
LINC02104,120,100.0
MAOA,120,100.0
WLS,120,100.0
SERPINB1,120,100.0
CD55,120,100.0
SNRNP25,120,100.0
HROB,120,100.0
ARL6IP1,120,100.0
RAB33B,120,100.0
ZNF284,120,100.0
ARRDC3,120,100.0
CAMK2D,120,100.0
CTNNA1,120,100.0
NPHP4,120,100.0
LRRC52,120,100.0
ATF3,120,100.0
ADSS2,120,100.0
LINC01358,120,100.0
H3C11,120,100.0
LINC02340,120,100.0
ATL3,120,100.0
PLS3,114,95.0
EPHA2,114,95.0
NCCRP1,114,95.0
MCM5,114,95.0
RNU6-1209P,114,95.0
STK19,114,95.0
TC2N,114,95.0
RAP1GDS1,114,95.0
FLOT2,114,95.0
RPL23AP86,114,95.0
ID3,114,95.0
MIR5195,114,95.0
KMO,114,95.0
CTH,114,95.0
CAPZA1,114,95.0
DHCR24,114,95.0
RPL21P88,114,95.0
LINC02888,114,95.0
LGALS3,114,95.0
OSER1,114,95.0
RAB11A,114,95.0
C6orf62,114,95.0
SORBS2-AS1,114,95.0
ANXA1,114,95.0
VWA5A,114,95.0
CREM,114,95.0
HCRTR2,114,95.0
SDCBP,114,95.0
PPP1CB,114,95.0
ARL3,114,95.0
NAMPT,114,95.0
SLC2A9,114,95.0
TPGS1,114,95.0
DEFB1,114,95.0
HENMT1,114,95.0
TGIF1,114,95.0
STX8,114,95.0
MGST1,114,95.0
GPRC5A,114,95.0
GIMAP3P,114,95.0
TMEM237,114,95.0
TMEM140,114,95.0
C12orf76,114,95.0
JAKMIP1,114,95.0
MORF4L1,114,95.0
LETM2,114,95.0
MFSD6L,114,95.0
LGALS7B,114,95.0
BCDIN3D,114,95.0
MAT2B,114,95.0
SEPTIN10,114,95.0
TLCD5,114,95.0
SPICE1,114,95.0
DEGS1,114,95.0
CDKN1A,108,90.0
LINC00304,108,90.0
SLC41A2,108,90.0
ZNF691-DT,108,90.0
MCU,108,90.0
LITAF,108,90.0
PHAF1,108,90.0
DUSP2,108,90.0
PERP,108,90.0
ECHDC1,108,90.0
LDHA,108,90.0
DSC2,108,90.0
SERINC5,108,90.0
SPRING1,108,90.0
RPL22P23,108,90.0
RDH13,108,90.0
HNRNPA1P27,108,90.0
CHMP5,108,90.0
STXBP3,108,90.0
USP1,108,90.0
WWC1,108,90.0
EIF2S3,108,90.0
ARPC1B,108,90.0
SOD2,108,90.0
SMPDL3A,108,90.0
HPSE,108,90.0
PHYH,108,90.0
LINC01511,108,90.0
CCNB2P1,108,90.0
CTTN,108,90.0
GLMP,108,90.0
FOS,108,90.0
P4HA1,108,90.0
ADAMTS18,108,90.0
FRMD4A,108,90.0
ANXA4,108,90.0
VPS41,108,90.0
PSEN1,108,90.0
PHYHIPL,108,90.0
LINC02289,108,90.0
CD47,108,90.0
ZNF418,108,90.0
TUBA1A,108,90.0
SLC39A1,108,90.0
MSRB1,108,90.0
DUSP19,108,90.0
CAPZA2,108,90.0
NCLP1,108,90.0
LSMEM1,108,90.0
PTPRR,108,90.0
NUP37,108,90.0
NDRG1,108,90.0
DBX2,108,90.0
ANXA2,108,90.0
RIN2,108,90.0
DUSP5P1,108,90.0
ARID5B,108,90.0
PLA2G15,108,90.0
KBTBD4,108,90.0
CAMKV,102,85.0
INSR,102,85.0
WWC2-AS2,102,85.0
PPBP,102,85.0
TNFSF12,102,85.0
RN7SL16P,102,85.0
RIMKLB,102,85.0
DYNLRB1,102,85.0
MTND3P6,102,85.0
GALNT11,102,85.0
PTPN11P1,102,85.0
LRRC57,102,85.0
VSTM1,102,85.0
CNIH4,102,85.0
ARHGAP26,102,85.0
CASP4,102,85.0
CXCL14,102,85.0
HSD17B11,102,85.0
GCNT3,102,85.0
NUPR2,102,85.0
ZBTB48,102,85.0
MIR765,102,85.0
RBP4,102,85.0
MTCP1,102,85.0
SMU1P1,102,85.0
HSPE1P8,102,85.0
OR2M3,102,85.0
P2RX4,102,85.0
PRMT2,102,85.0
MFSD4A,102,85.0
RACGAP1,102,85.0
CXCL16,102,85.0
TRIM47,102,85.0
ZNF622,102,85.0
SCAT8,102,85.0
KNSTRN,102,85.0
COX7A2P1,102,85.0
MTND4P16,102,85.0
HOXA7,102,85.0
ZNF670,102,85.0
RPS6KA5,102,85.0
TBL1XR1,102,85.0
WDR1,102,85.0
DDX52,102,85.0
SDC4,102,85.0
CDH1,102,85.0
MAP3K4-AS1,102,85.0
SLC24A5,102,85.0
MRPL45,102,85.0
PPP1R15A,102,85.0
RPSAP56,102,85.0
KCNG1,102,85.0
CCDC28A,102,85.0
ATP6V0E1,102,85.0
ATP6V1A,102,85.0
RNU6-935P,96,80.0
SKIL,96,80.0
RNU6-130P,96,80.0
CYP2C18,96,80.0
THBD,96,80.0
PGM2,96,80.0
GADD45B,96,80.0
CEPT1,96,80.0
PFKP,96,80.0
SET,96,80.0
SPATA20,96,80.0
TMUB2,96,80.0
SPDYE18,96,80.0
YWHAZP10,96,80.0
SMYD2,96,80.0
CADM1,96,80.0
TMCO3,96,80.0
MAFF,96,80.0
NRBF2,96,80.0
CAST,96,80.0
SAP30L-AS1,96,80.0
MBOAT1,96,80.0
EZR,96,80.0
ARNT,96,80.0
BCL2L10,96,80.0
CCN1,96,80.0
ARID5A,96,80.0
ZNF544,96,80.0
NBR2,96,80.0
RAB11FIP1,96,80.0
CYP1A1,96,80.0
KRT7,96,80.0
LRRC31,96,80.0
ADAM22,96,80.0
KCNK13,96,80.0
CSRP3-AS1,96,80.0
ASB16-AS1,96,80.0
RN7SKP4,96,80.0
ZNF549,96,80.0
ERRFI1,96,80.0
GATA2-AS1,96,80.0
RAD51,96,80.0
UBE2B,96,80.0
NMI,96,80.0
LINC00891,96,80.0
GLOD4,96,80.0
SLC7A2,96,80.0
LINC00882,96,80.0
SPECC1L-ADORA2A,96,80.0
MTCO1P35,96,80.0
LINC00581,96,80.0
