feature,frequency,percentage
FRMD4A,60,100.0
CD55,60,100.0
GABARAPL1,60,100.0
MARCHF3,60,100.0
CBLL2,60,100.0
MOCOS,60,100.0
TGIF1,60,100.0
LGALS7B,60,100.0
RNU4ATAC18P,60,100.0
DCTPP1,60,100.0
ARG2,60,100.0
SEMA6A-AS1,60,100.0
RTN3,60,100.0
JPT1,60,100.0
LINC00882,60,100.0
TBC1D28,60,100.0
SND1-DT,60,100.0
HPSE,60,100.0
SDCBP2,60,100.0
HROB,60,100.0
LINC01565,60,100.0
RIOK3,60,100.0
PLP2,60,100.0
LINC01358,60,100.0
KMO,60,100.0
SCAT8,60,100.0
MCM4,60,100.0
PLXNA4,60,100.0
RPS20P10,60,100.0
ENOX1-AS1,60,100.0
PWWP2AP1,60,100.0
HTATIP2,60,100.0
ADAM7,60,100.0
ALDH2,60,100.0
LINC00261,60,100.0
LRRC52,60,100.0
TAGLN2,60,100.0
MGST3,60,100.0
ADAM22,60,100.0
RETREG1,60,100.0
LINC02340,60,100.0
TRAPPC14,60,100.0
TMEM140,60,100.0
RBFOX3,60,100.0
PKDCC,60,100.0
SNRNP25,60,100.0
PFKP,60,100.0
TOB1,60,100.0
HSPB8,60,100.0
CCDC54-AS1,57,95.0
ADAMTS18,57,95.0
KLF6,57,95.0
SMU1P1,57,95.0
MED12L,57,95.0
ADSS2,57,95.0
LINC02289,57,95.0
ASB16-AS1,57,95.0
ZNF859P,57,95.0
RNU6-411P,57,95.0
TRGJP2,57,95.0
DUSP1,57,95.0
DEFB1,57,95.0
ATP6V0E1,57,95.0
KCNK13,57,95.0
SNRPEP10,57,95.0
RBMX2P5,57,95.0
LINC02522,57,95.0
YTHDF3P1,57,95.0
LGALS3,57,95.0
SULT4A1,57,95.0
GALE,57,95.0
EPHA2,57,95.0
ACSM5P1,57,95.0
SETP16,57,95.0
HPYR1,57,95.0
RPL23AP86,57,95.0
DEPP1,57,95.0
RNFT1P3,57,95.0
PSTK,57,95.0
ARHGEF38-IT1,57,95.0
RNU4-49P,57,95.0
TMEM210,57,95.0
RAD51,57,95.0
SEPTIN10,57,95.0
ANXA2,54,90.0
MTCO1P35,54,90.0
EIF1,54,90.0
NAV2,54,90.0
CAMKV,54,90.0
GPR87,54,90.0
TTC9B,54,90.0
USP17L7,54,90.0
SDCBP,54,90.0
RIMKLB,54,90.0
RNU6-935P,54,90.0
NOSTRIN,54,90.0
PCARE,54,90.0
MFSD6L,54,90.0
KRT8P30,54,90.0
NUPR2,54,90.0
RAPSN,54,90.0
ZNF418,54,90.0
NPAS3,54,90.0
ATF3,54,90.0
SCCPDH,54,90.0
COMETT,54,90.0
EDDM3B,54,90.0
PRRG4,54,90.0
LDHA,54,90.0
RNU6-1164P,54,90.0
CXCL14,54,90.0
HSD17B11,54,90.0
LINC00304,54,90.0
CCNB2P1,54,90.0
PLA2G15,54,90.0
LINC02669,54,90.0
SYT2,54,90.0
LINC03028,54,90.0
RPS6KA2,54,90.0
OFD1,54,90.0
APOL1,54,90.0
TMEM45B,54,90.0
LRP2,54,90.0
RPS6KA5,54,90.0
GLRXP2,54,90.0
EZR,54,90.0
SOD2,54,90.0
ARHGAP26,54,90.0
C16orf46-DT,54,90.0
MTND4P22,54,90.0
PSEN1,54,90.0
MAP1LC3B,54,90.0
PELO-AS1,54,90.0
CEACAM21,54,90.0
RNA5SP442,51,85.0
CASP4,51,85.0
MIR342,51,85.0
DSC2,51,85.0
ENPP7P11,51,85.0
ALG13,51,85.0
SHANK3,51,85.0
SLC44A1,51,85.0
MFSD4A,51,85.0
DBR1,51,85.0
CHMP5,51,85.0
BCL2L10,51,85.0
SLC24A5,51,85.0
AQP12A,51,85.0
MTND4P16,51,85.0
ZNF284,51,85.0
LINC02888,51,85.0
SESTD1,51,85.0
PPP1R1B,51,85.0
MTND5P16,51,85.0
CAPZA3,51,85.0
THEM5,51,85.0
FCHO1,51,85.0
FAM83G,51,85.0
TMC3,51,85.0
HCRTR2,51,85.0
DOCK9,51,85.0
PNKD,51,85.0
SNORD101,51,85.0
RNU6-484P,51,85.0
FLOT2,51,85.0
WLS,51,85.0
MIR4511,51,85.0
LINC01166,51,85.0
LINC00885,51,85.0
ZNF723,51,85.0
DNM1P41,51,85.0
DUSP2,51,85.0
KCNG1,51,85.0
MIR5195,51,85.0
TENM2,51,85.0
CHP1,51,85.0
PPM1M,51,85.0
ENAHP1,51,85.0
AADAT,51,85.0
NCLP1,51,85.0
PRAP1,51,85.0
HEPFAL,51,85.0
MIR623,51,85.0
VWA5A,51,85.0
LINC02137,51,85.0
TC2N,51,85.0
CLPSL1,51,85.0
CSTB,51,85.0
B4GALT1-AS1,51,85.0
TMBIM1,48,80.0
EMX1,48,80.0
TMEM237,48,80.0
MIR6877,48,80.0
YPEL3-DT,48,80.0
ABHD3,48,80.0
THBD,48,80.0
MGST1,48,80.0
FDCSP,48,80.0
RACGAP1,48,80.0
EIF2B5-DT,48,80.0
MEGF6,48,80.0
GIMAP3P,48,80.0
CDH12P3,48,80.0
CTNNA1,48,80.0
SPICE1,48,80.0
LINC00891,48,80.0
PLPPR5,48,80.0
NGB,48,80.0
ZNF252P-AS1,48,80.0
SERPINB1,48,80.0
ARL6IP1,48,80.0
FN3KRP,48,80.0
TYMP,48,80.0
ZNF670,48,80.0
GADD45B,48,80.0
MAOA,48,80.0
SUMO2P1,48,80.0
PRSS38,48,80.0
ARL3,48,80.0
HNRNPA1P41,48,80.0
CDK5P1,48,80.0
ANXA1,48,80.0
RPL21P107,48,80.0
STK19,48,80.0
SLC17A4,48,80.0
RPS17P2,48,80.0
TRAV13-2,48,80.0
ATP6V1A,48,80.0
RN7SL182P,48,80.0
MTCP1,48,80.0
NMI,48,80.0
CD200,48,80.0
CT69,48,80.0
IFNA8,48,80.0
KRT18P19,48,80.0
TTC4,48,80.0
RGS12,48,80.0
LINC01010,48,80.0
ZNF385C,48,80.0
LMLN-AS1,48,80.0
RPS27P14,48,80.0
HENMT1,48,80.0
